row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Khác,Tổng cộng (Trình bày lại),numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng cộng (Trình bày lại)
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,,,,,,
Tại ngày 01/01/2015,NGUYÊN GIẢ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,747.874.965.406,227.836.496.463,23.861.214.123,5.417.087.976,6.164.046.656,1.011.153.810.624,747874965406.0,227836496463.0,23861214123.0,5417087976.0,6164046656.0,1011153810624.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIẢ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,12.346.367.197,-,-,-,-,12.346.367.197,12346367197.0,,,,,12346367197.0
Mua sắm mới,NGUYÊN GIẢ > Mua sắm mới,Mua sắm mới,662.191.000,5.741.552.775,3.507.523.636,145.727.273,549.443.500,10.606.438.184,662191000.0,5741552775.0,3507523636.0,145727273.0,549443500.0,10606438184.0
Tăng khác,NGUYÊN GIẢ > Tăng khác,Tăng khác,1.285.299.481,1.783.463.970,-,-,62.550.000,3.131.313.451,1285299481.0,1783463970.0,,,62550000.0,3131313451.0
"Thanh lý, nhượng bán","NGUYÊN GIẢ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.518.144.748),(9.718.742.594),(1.082.839.390),(631.039.350),-,(17.950.766.082),-6518144748.0,-9718742594.0,-1082839390.0,-631039350.0,,-17950766082.0
Phân loại lại,NGUYÊN GIẢ > Phân loại lại,Phân loại lại,-,325.777.403,-,(325.777.403),-,-,,325777403.0,,-325777403.0,,
Giảm khác,NGUYÊN GIẢ > Giảm khác,Giảm khác,(80.842.000),(155.797.800),(715.481.389),-,-,(952.121.189),-80842000.0,-155797800.0,-715481389.0,,,-952121189.0
Tại ngày 31/12/2015,NGUYÊN GIẢ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,755.569.836.336,225.812.750.217,25.570.416.980,4.605.998.496,6.776.040.156,1.018.335.042.185,755569836336.0,225812750217.0,25570416980.0,4605998496.0,6776040156.0,1018335042185.0
GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,,,,,,
Tại ngày 01/01/2015,GIẢ TRỊ HAO MÔN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,119.093.384.673,124.664.011.667,12.841.146.345,3.054.541.459,3.635.395.642,263.288.479.786,119093384673.0,124664011667.0,12841146345.0,3054541459.0,3635395642.0,263288479786.0
Trích khấu hao trong năm,GIẢ TRỊ HAO MÔN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,36.740.407.123,19.987.868.703,3.393.530.839,278.439.682,1.037.366.852,61.437.613.199,36740407123.0,19987868703.0,3393530839.0,278439682.0,1037366852.0,61437613199.0
Tăng khác,GIẢ TRỊ HAO MÔN LỦY KẾ > Tăng khác,Tăng khác,-,837.417.606,-,-,-,837.417.606,,837417606.0,,,,837417606.0
"Thanh lý, nhượng bán","GIẢ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.257.077.572),(8.179.749.997),(640.984.378),(136.881.401),-,(11.214.693.348),-2257077572.0,-8179749997.0,-640984378.0,-136881401.0,,-11214693348.0
Phân loại lại,GIẢ TRỊ HAO MÔN LỦY KẾ > Phân loại lại,Phân loại lại,-,271.373.911,-,(271.373.911),-,-,,271373911.0,,-271373911.0,,
Giảm khác,GIẢ TRỊ HAO MÔN LỦY KẾ > Giảm khác,Giảm khác,(349.862.018),(38.133.828),-,-,-,(387.995.846),-349862018.0,-38133828.0,,,,-387995846.0
Tại ngày 31/12/2015,GIẢ TRỊ HAO MÔN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,153.226.852.206,137.542.788.062,15.593.692.806,2.924.725.829,4.672.762.494,313.960.821.397,153226852206.0,137542788062.0,15593692806.0,2924725829.0,4672762494.0,313960821397.0
GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,,,,,,
Tại ngày 31/12/2015,GIẢ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,602.342.984.130,88.269.962.155,9.976.724.174,1.681.272.667,2.103.277.662,704.374.220.788,602342984130.0,88269962155.0,9976724174.0,1681272667.0,2103277662.0,704374220788.0
Tại ngày 31/12/2014,GIẢ TRỊ CÒN LẠI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,628.781.580.733,103.172.484.796,11.020.067.778,2.362.546.517,2.528.651.014,747.865.330.838,628781580733.0,103172484796.0,11020067778.0,2362546517.0,2528651014.0,747865330838.0
