row_label_raw,row_label_full,Tên Công ty,Số lượng tại 31/12/2015(Cổ phiếu),numeric__Số lượng tại 31/12/2015(Cổ phiếu)
Cảm cổ cổ phiếu tại các công ty:,Cảm cổ cổ phiếu tại các công ty:,Cảm cổ cổ phiếu tại các công ty:,,
Công ty Tài chính Cổ phần Điện lực,Cảm cổ cổ phiếu tại các công ty: > Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,50.000,50000.0
Công ty Cổ phần Giáo dục Quốc tế Thần Đồng (1),Cảm cổ cổ phiếu tại các công ty: > Công ty Cổ phần Giáo dục Quốc tế Thần Đồng (1),Công ty Cổ phần Giáo dục Quốc tế Thần Đồng (1),7.000.000,7000000.0
Công ty Cổ phần Bình Dương Xanh (2),Cảm cổ cổ phiếu tại các công ty: > Công ty Cổ phần Bình Dương Xanh (2),Công ty Cổ phần Bình Dương Xanh (2),8.000.000,8000000.0
Ngân hàng TMCP Quốc Dân (3),Cảm cổ cổ phiếu tại các công ty: > Ngân hàng TMCP Quốc Dân (3),Ngân hàng TMCP Quốc Dân (3),32.000.000,32000000.0
Ngân hàng TMCP Ngoại thương Việt Nam (4),Cảm cổ cổ phiếu tại các công ty: > Ngân hàng TMCP Ngoại thương Việt Nam (4),Ngân hàng TMCP Ngoại thương Việt Nam (4),10.695.652,10695652.0
Ngân hàng Thương mại Cổ phần Đại Dương (5),Cảm cổ cổ phiếu tại các công ty: > Ngân hàng Thương mại Cổ phần Đại Dương (5),Ngân hàng Thương mại Cổ phần Đại Dương (5),8.000.000,8000000.0
Tổng,Cảm cổ cổ phiếu tại các công ty: > Tổng,Tổng,65.745.652,65745652.0
Nhận cầu cổ phiếu từ công ty:,Nhận cầu cổ phiếu từ công ty:,Nhận cầu cổ phiếu từ công ty:,,
Công ty Cổ phần Thương mại và Đầu tư Mạnh Hà (6),Nhận cầu cổ phiếu từ công ty: > Công ty Cổ phần Thương mại và Đầu tư Mạnh Hà (6),Công ty Cổ phần Thương mại và Đầu tư Mạnh Hà (6),6.695.652,6695652.0
Tổng,Nhận cầu cổ phiếu từ công ty: > Tổng,Tổng,6.695.652,6695652.0
Cổ phiếu nằm giữ sau cầm cổ,Nhận cầu cổ phiếu từ công ty: > Cổ phiếu nằm giữ sau cầm cổ,Cổ phiếu nằm giữ sau cầm cổ,59.050.000,59050000.0
