row_label_raw,row_label_full,col_0,2015,2014(Trình bày lại),numeric__2015,numeric__2014(Trình bày lại)
,,,VND,VND,,
"Lãi tiên gửi, tiền cho vay, ủy thác đầu tư","Lãi tiên gửi, tiền cho vay, ủy thác đầu tư","Lãi tiên gửi, tiền cho vay, ủy thác đầu tư",105.917.212.845,140.504.205.195,105917212845.0,140504205195.0
"Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",688.870.000,1.250.528.000,688870000.0,1250528000.0
Doanh thu tài chính khác,Doanh thu tài chính khác,Doanh thu tài chính khác,1.714.788.500.644,979.525.639.879,1714788500644.0,979525639879.0
- Lãi từ chuyển nhượng cổ phần Công ty Cổ phần,- Lãi từ chuyển nhượng cổ phần Công ty Cổ phần,- Lãi từ chuyển nhượng cổ phần Công ty Cổ phần,1.712.735.100.704,-,1712735100704.0,
Ngải Sao Xanh (i),Ngải Sao Xanh (i),Ngải Sao Xanh (i),,,,
- Lãi từ chuyển nhượng cổ phần Công ty Cổ phần bản lẻ và quản lý Bất động sản Đại Dương,Ngải Sao Xanh (i) > - Lãi từ chuyển nhượng cổ phần Công ty Cổ phần bản lẻ và quản lý Bất động sản Đại Dương,- Lãi từ chuyển nhượng cổ phần Công ty Cổ phần bản lẻ và quản lý Bất động sản Đại Dương,-,675.937.171.888,,675937171888.0
- Ông Hà Trọng Nam,Ngải Sao Xanh (i) > - Ông Hà Trọng Nam,- Ông Hà Trọng Nam,-,59.201.388.887,,59201388887.0
- Doanh thu tài chính khác,Ngải Sao Xanh (i) > - Doanh thu tài chính khác,- Doanh thu tài chính khác,2.053.399.940,244.387.079.104,2053399940.0,244387079104.0
,,,1.821.394.583.489,1.121.280.373.074,1821394583489.0,1121280373074.0
