row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Máy mócvà thiết bị,Tổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Tổng cộng
,,,VND,VND,VND,,,
NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,,,
Tại ngày 01/01/2015,NGUYÊN GIẢ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,233.951.835.559,29.788.399.199,263.740.234.758,233951835559.0,29788399199.0,263740234758.0
Mua trong năm,NGUYÊN GIẢ > Mua trong năm,Mua trong năm,463.226.400,62.000.000,525.226.400,463226400.0,62000000.0,525226400.0
Phân loại lại,NGUYÊN GIẢ > Phân loại lại,Phân loại lại,(526.423.838),526.423.838,-,-526423838.0,526423838.0,
Tăng khác,NGUYÊN GIẢ > Tăng khác,Tăng khác,123.624.952,-,123.624.952,123624952.0,,123624952.0
Tại ngày 31/12/2015,NGUYÊN GIẢ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,234.012.263.073,30.376.823.037,264.389.086.110,234012263073.0,30376823037.0,264389086110.0
GIẢ TRỊ HAO MÒN LỦY KẾ,GIẢ TRỊ HAO MÒN LỦY KẾ,GIẢ TRỊ HAO MÒN LỦY KẾ,GIẢ TRỊ HAO MÒN LỦY KẾ,GIẢ TRỊ HAO MÒN LỦY KẾ,GIẢ TRỊ HAO MÒN LỦY KẾ,,,
Tại ngày 01/01/2015,GIẢ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,97.331.964.571,29.788.399.199,127.120.363.770,97331964571.0,29788399199.0,127120363770.0
Trích khấu hao trong năm,GIẢ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,5.656.452.701,31.650.500,5.688.103.201,5656452701.0,31650500.0,5688103201.0
Phân loại lại,GIẢ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(307.228.572),307.228.572,-,-307228572.0,307228572.0,
Tăng khác,GIẢ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,18.806.000,-,18.806.000,18806000.0,,18806000.0
Tại ngày 31/12/2015,GIẢ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,102.699.994.700,30.127.278.271,132.827.272.971,102699994700.0,30127278271.0,132827272971.0
GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,,,
Tại ngày 31/12/2015,GIẢ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,131.312.268.373,249.544.766,131.561.813.139,131312268373.0,249544766.0,131561813139.0
Tại ngày 31/12/2014,GIẢ TRỊ CÒN LẠI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,136.619.870.988,-,136.619.870.988,136619870988.0,,136619870988.0
