row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,31/12/2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,3.865.615.044.294,5.007.625.678.614,200.0,,3865615044294.0,5007625678614.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,1.160.966.422.386,1.948.875.420.307,210.0,,1160966422386.0,1948875420307.0
1. Trá trước cho người bán dài hạn,1. Trá trước cho người bán dài hạn,1. Trá trước cho người bán dài hạn,212,8,1.181.459.728.374,1.249.499.053.374,212.0,8.0,1181459728374.0,1249499053374.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,10,548.506.694.012,1.199.376.366.933,216.0,10.0,548506694012.0,1199376366933.0
3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,219,11,(569.000.000.000),(500.000.000.000),219.0,11.0,-569000000000.0,-500000000000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,794.559.256.757,839.182.278.281,220.0,,794559256757.0,839182278281.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,15,704.374.220.788,747.865.330.838,221.0,15.0,704374220788.0,747865330838.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,1.018.335.042.185,1.011.153.810.624,222.0,,1018335042185.0,1011153810624.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(313.960.821.397),(263.288.479.786),223.0,,-313960821397.0,-263288479786.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,16,90.185.035.969,91.316.947.443,227.0,16.0,90185035969.0,91316947443.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,105.952.953.748,106.081.683.633,228.0,,105952953748.0,106081683633.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(15.767.917.779),(14.764.736.190),229.0,,-15767917779.0,-14764736190.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,17,131.561.813.139,136.619.870.988,230.0,17.0,131561813139.0,136619870988.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,264.389.086.110,263.740.234.758,231.0,,264389086110.0,263740234758.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(132.827.272.971),(127.120.363.770),232.0,,-132827272971.0,-127120363770.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,501.651.318.893,503.508.073.138,240.0,,501651318893.0,503508073138.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,18,501.651.318.893,503.508.073.138,242.0,18.0,501651318893.0,503508073138.0
V. Các khoản đầu tư tài chính dài hạn,V. Các khoản đầu tư tài chính dài hạn,V. Các khoản đầu tư tài chính dài hạn,250,,669.782.530.080,937.582.039.000,250.0,,669782530080.0,937582039000.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,20,319.378.387.586,393.815.044.634,252.0,20.0,319378387586.0,393815044634.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,6,360.142.135.149,553.320.028.373,253.0,6.0,360142135149.0,553320028373.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,6,(9.737.992.655),(9.553.034.007),254.0,6.0,-9737992655.0,-9553034007.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,607.093.703.039,641.857.996.900,260.0,,607093703039.0,641857996900.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,14,378.238.111.285,381.334.821.168,261.0,14.0,378238111285.0,381334821168.0
2. Tài sản thuế thu nhập hoàn lại,2. Tài sản thuế thu nhập hoàn lại,2. Tài sản thuế thu nhập hoàn lại,262,21,11.507.849.896,6.520.032.096,262.0,21.0,11507849896.0,6520032096.0
3. Lợi thế thương mại,3. Lợi thế thương mại,3. Lợi thế thương mại,269,22,217.347.741.858,254.003.143.636,269.0,22.0,217347741858.0,254003143636.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,6.920.109.491.415,8.917.877.787.387,270.0,,6920109491415.0,8917877787387.0
