row_label_raw,row_label_full,Tên chỉ tiêuB. NGUỒN VỐN,Mã số,31/12/2014,col_3,numeric__Mã số,numeric__31/12/2014,numeric__col_3
I. Nợ phải trả,I. Nợ phải trả,I. Nợ phải trả,I. Nợ phải trả,I. Nợ phải trả,I. Nợ phải trả,,,
1. Phải trả người bán ngắn hạn,I. Nợ phải trả > 1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,143.463.910.224,"Trình bày lại, đổi tên vàđổi mã số",311.0,143463910224.0,
2. Người mục trả tiền trước ngắn hạn,I. Nợ phải trả > 2. Người mục trả tiền trước ngắn hạn,2. Người mục trả tiền trước ngắn hạn,312,561.533.532.980,"Trình bày lại, đổi tên vàđổi mã số",312.0,561533532980.0,
3. Thuế và các khoản phải nộp Nhà nước,I. Nợ phải trả > 3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,153.265.583.797,Trình bày lại và đổi mã số,313.0,153265583797.0,
4. Phải trả người lao động,I. Nợ phải trả > 4. Phải trả người lao động,4. Phải trả người lao động,314,17.464.247.434,Trình bày lại,314.0,17464247434.0,
5. Chí phí phải trả ngắn hạn,I. Nợ phải trả > 5. Chí phí phải trả ngắn hạn,5. Chí phí phải trả ngắn hạn,315,188.710.654.091,"Trình bày lại, đổi tên vàđổi mã số",315.0,188710654091.0,
6. Doanh thu chưa thực hiện ngắn hạn,I. Nợ phải trả > 6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,12.603.587.893,Bổ sung khoản mục mới,318.0,12603587893.0,
7. Phải trả ngắn hạn khác,I. Nợ phải trả > 7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,1.722.289.844.275,Trình bày lại và đổi tên,319.0,1722289844275.0,
8. Vay và nợ thuê tài chính ngắn hạn,I. Nợ phải trả > 8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,1.005.010.770.085,"Trình bày lại, đổi tên vàđổi mã số",320.0,1005010770085.0,
9. Doanh thu chưa thực hiện dài hạn,I. Nợ phải trả > 9. Doanh thu chưa thực hiện dài hạn,9. Doanh thu chưa thực hiện dài hạn,336,441.169.087.078,"Trình bày lại, đổi tên vàđổi mã số",336.0,441169087078.0,
10. Phải trả dài hạn khác,I. Nợ phải trả > 10. Phải trả dài hạn khác,10. Phải trả dài hạn khác,337,2.662.879.763.900,Trình bày lại và đổi mã số,337.0,2662879763900.0,
11. Vay và nợ thuê tài chính dài hạn,I. Nợ phải trả > 11. Vay và nợ thuê tài chính dài hạn,11. Vay và nợ thuê tài chính dài hạn,338,629.654.914.932,Đối tên và đổi mã số,338.0,629654914932.0,
12. Thuế thu nhập hoãn lại phải trả,I. Nợ phải trả > 12. Thuế thu nhập hoãn lại phải trả,12. Thuế thu nhập hoãn lại phải trả,341,68.100.836.993,Trình bày lại và đổi mã số,341.0,68100836993.0,
