row_label_raw,row_label_full,col_0,Tổng cộng(Trình bày lại),numeric__Tổng cộng(Trình bày lại)
,,,VND,
NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,
Tại ngày 01/01/2015,NGUYÊN GIẢ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,343.708.620.279,343708620279.0
Thanh lý trong năm,NGUYÊN GIẢ > Thanh lý trong năm,Thanh lý trong năm,(1.837.214.546),-1837214546.0
Tại ngày 31/12/2015,NGUYÊN GIẢ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,341.871.405.733,341871405733.0
GIẢ TRỊ HAO MÒN LỦY KẾ,GIẢ TRỊ HAO MÒN LỦY KẾ,GIẢ TRỊ HAO MÒN LỦY KẾ,GIẢ TRỊ HAO MÒN LỦY KẾ,
Tại ngày 01/01/2015,GIẢ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,89.705.476.643,89705476643.0
Trích khấu hao trong năm,GIẢ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,34.818.187.232,34818187232.0
Tại ngày 31/12/2015,GIẢ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,124.523.663.875,124523663875.0
GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,
Tại ngày 31/12/2015,GIẢ TRỊ CÔN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,217.347.741.858,217347741858.0
Tại ngày 31/12/2014,GIẢ TRỊ CÔN LẠI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,254.003.143.636,254003143636.0
