row_label_raw,row_label_full,Tên chỉ tiêu,Mã số,31/12/2014,Tên chỉ tiêu_1,Mã số_1,31/12/2014_1,numeric__Mã số,numeric__31/12/2014,numeric__Tên chỉ tiêu_1,numeric__Mã số_1,numeric__31/12/2014_1
II. Tài sản dài hạn,II. Tài sản dài hạn,II. Tài sản dài hạn,,,II. Tài sản dài hạn,,,,,,,
1. Không có chỉ tiêu tương ứng,II. Tài sản dài hạn > 1. Không có chỉ tiêu tương ứng,1. Không có chỉ tiêu tương ứng,,,1. Trả trước cho người bán dài hạn,212,1.249.499.053.374 Bổ sung khoản mục mới,,,,212.0,
2. Phải thu dài hạn khác,II. Tài sản dài hạn > 2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,218,2.649.748.136.938,2. Phải thu dài hạn khác,216,1.199.376.366.933 Trình bày lại và đổi mã số,218.0,2649748136938.0,,216.0,
3. Tài sản có định hữu hình,II. Tài sản dài hạn > 3. Tài sản có định hữu hình,3. Tài sản có định hữu hình,221,748.526.611.388,3. Tài sản có định hữu hình,221,747.865.330.838 Trình bày lại,221.0,748526611388.0,,221.0,
4. Tài sản có định vô hình,II. Tài sản dài hạn > 4. Tài sản có định vô hình,4. Tài sản có định vô hình,227,91.182.271.217,4. Tài sản có định vô hình,227,91.316.947.443 Trình bày lại,227.0,91182271217.0,,227.0,
5. Chỉ phí xây dựng cơ bản đó dang,II. Tài sản dài hạn > 5. Chỉ phí xây dựng cơ bản đó dang,5. Chỉ phí xây dựng cơ bản đó dang,230,521.155.470.931,5. Chỉ phí xây dựng cơ bản đó dang,242,503.508.073.138 Trình bày lại,230.0,521155470931.0,,242.0,
6. Đầu tư vào công ty liên kết,II. Tài sản dài hạn > 6. Đầu tư vào công ty liên kết,6. Đầu tư vào công ty liên kết,252,437.535.306.268,"6. Đầu tư vào công ty liên doanh, liên kết",252,393.815.044.634 Trình bày lại và đổi tên,252.0,437535306268.0,,252.0,
7. Đầu tư dài hạn khác,II. Tài sản dài hạn > 7. Đầu tư dài hạn khác,7. Đầu tư dài hạn khác,258,351.941.053.797,7. Đầu tư góp vốn vào đơn vị khác,253,"553.320.028.373 Trình bày lại, đối tên và đổi mã số",258.0,351941053797.0,,253.0,
8. Dự phòng giám giá đầu tư tài chính dài hạn,II. Tài sản dài hạn > 8. Dự phòng giám giá đầu tư tài chính dài hạn,8. Dự phòng giám giá đầu tư tài chính dài hạn,259,(13.541.900.298),8. Dự phòng đầu tư tài chính dài hạn,254,"(9.553.034.007) Trình bày lại, đối tên và",259.0,-13541900298.0,,254.0,
9. Chỉ phí trả trước dài hạn,II. Tài sản dài hạn > 9. Chỉ phí trả trước dài hạn,9. Chỉ phí trả trước dài hạn,261,297.654.232.823,9. Chỉ phí trả trước dài hạn,261,381.334.821.168 Trình bày lại,261.0,297654232823.0,,261.0,
10. Tài sản dài hạn khác,II. Tài sản dài hạn > 10. Tài sản dài hạn khác,10. Tài sản dài hạn khác,268,3.094.742.669,10. Tài sản dài hạn khác,268,- Trình bày lại,268.0,3094742669.0,,268.0,
11. Lợi thế thương mại,II. Tài sản dài hạn > 11. Lợi thế thương mại,11. Lợi thế thương mại,269,251.171.292.571,11. Lợi thế thương mại,269,254.003.143.636 Trình bày lại,269.0,251171292571.0,,269.0,
