row_label_raw,row_label_full,col_0,31/12/2015VND,31/12/2014(Trình bày lại)VND,numeric__31/12/2015VND,numeric__31/12/2014(Trình bày lại)VND
Công ty Cổ phần Du lịch Khách sạn Suối Mơ,Công ty Cổ phần Du lịch Khách sạn Suối Mơ,Công ty Cổ phần Du lịch Khách sạn Suối Mơ,1.242.446.573,1.479.103.065,1242446573.0,1479103065.0
Công ty Cổ phần Tân Việt,Công ty Cổ phần Tân Việt,Công ty Cổ phần Tân Việt,9.911.257.187,11.727.354.443,9911257187.0,11727354443.0
Công ty Cổ phần Truyền thông Đại Dương,Công ty Cổ phần Truyền thông Đại Dương,Công ty Cổ phần Truyền thông Đại Dương,448.426.993,781.010.897,448426993.0,781010897.0
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,59.686.724.516,67.919.376.172,59686724516.0,67919376172.0
Công ty Cổ phần Đầu tư Đại Dương Thắng Long,Công ty Cổ phần Đầu tư Đại Dương Thắng Long,Công ty Cổ phần Đầu tư Đại Dương Thắng Long,2.100.285.454,4.375.000.000,2100285454.0,4375000000.0
Công ty Cổ phần Dịch vụ hỗ trợ và Phát triển Đầu tư,Công ty Cổ phần Dịch vụ hỗ trợ và Phát triển Đầu tư,Công ty Cổ phần Dịch vụ hỗ trợ và Phát triển Đầu tư,39.710.866.208,49.638.582.760,39710866208.0,49638582760.0
Công ty Cổ phần Phát triển Giàng Võ,Công ty Cổ phần Phát triển Giàng Võ,Công ty Cổ phần Phát triển Giàng Võ,10.030.084.614,11.516.023.076,10030084614.0,11516023076.0
Công ty Cổ phần Kem Tràng Tiền,Công ty Cổ phần Kem Tràng Tiền,Công ty Cổ phần Kem Tràng Tiền,74.126.320.308,83.392.110.348,74126320308.0,83392110348.0
Công ty TNHH MTV Sao Hôm - Nha Trang,Công ty TNHH MTV Sao Hôm - Nha Trang,Công ty TNHH MTV Sao Hôm - Nha Trang,20.091.330.005,23.174.582.875,20091330005.0,23174582875.0
,,,217.347.741.858,254.003.143.636,217347741858.0,254003143636.0
