row_label_raw,row_label_full,Chỉ tiêu,31/12/2014,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,31/12/2015,numeric__31/12/2014,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__31/12/2015
,,,VND,VND,VND,VND,,,,
Ngân hàng Thương mại Cổ phầnHàng Hải Việt Nam (i),Ngân hàng Thương mại Cổ phầnHàng Hải Việt Nam (i),Ngân hàng Thương mại Cổ phầnHàng Hải Việt Nam (i),500.000.000.000,-,-,500.000.000.000,500000000000.0,,,500000000000.0
Ngân hàng Thương mại TNHH MTVĐại Dương (ii),Ngân hàng Thương mại TNHH MTVĐại Dương (ii),Ngân hàng Thương mại TNHH MTVĐại Dương (ii),684.677.405.017,-,52.703.256.306,631.974.148.711,684677405017.0,,52703256306.0,631974148711.0
Cộng,Cộng,Cộng,1.184.677.405.017,-,52.703.256.306,1.131.974.148.711,1184677405017.0,,52703256306.0,1131974148711.0
Trong đó:Số phải trả trong vòng 12 tháng(Chỉ tiết xem tại Thuyết minh số 27),Trong đó:Số phải trả trong vòng 12 tháng(Chỉ tiết xem tại Thuyết minh số 27),Trong đó:Số phải trả trong vòng 12 tháng(Chỉ tiết xem tại Thuyết minh số 27),555.022.490.085,,,556.496.176.582,555022490085.0,,,556496176582.0
Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,629.654.914.932,,,575.477.972.129,629654914932.0,,,575477972129.0
