row_label_raw,row_label_full,col_0,31/12/2015,31/12/2014(Trình bày lại),numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
,,,VND,VND,,
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
Ngắn hàng Thương mại TNHH MTV Đại Dương (i),a. Ngắn hạn > Ngắn hàng Thương mại TNHH MTV Đại Dương (i),Ngắn hàng Thương mại TNHH MTV Đại Dương (i),174.612.394.774,567.229.893.167,174612394774.0,567229893167.0
Công ty TNHH MTV Đầu tư và Dịch vụ,a. Ngắn hạn > Công ty TNHH MTV Đầu tư và Dịch vụ,Công ty TNHH MTV Đầu tư và Dịch vụ,116.042.770.800,-,116042770800.0,
Đại Dương Xanh (ii),Đại Dương Xanh (ii),Đại Dương Xanh (ii),Đại Dương Xanh (ii),Đại Dương Xanh (ii),,
Cổ tức phải trả,Đại Dương Xanh (ii) > Cổ tức phải trả,Cổ tức phải trả,122.861.072.453,122.858.072.981,122861072453.0,122858072981.0
Công ty Cổ phần Vincom Retail (iii),Đại Dương Xanh (ii) > Công ty Cổ phần Vincom Retail (iii),Công ty Cổ phần Vincom Retail (iii),94.697.103.485,284.850.000.000,94697103485.0,284850000000.0
Công ty TNHH VNT (iv),Đại Dương Xanh (ii) > Công ty TNHH VNT (iv),Công ty TNHH VNT (iv),72.000.000.000,72.000.000.000,72000000000.0,72000000000.0
Công ty Tài chính Cổ phần Diện lực (v),Đại Dương Xanh (ii) > Công ty Tài chính Cổ phần Diện lực (v),Công ty Tài chính Cổ phần Diện lực (v),70.250.000.000,240.000.000.000,70250000000.0,240000000000.0
Công ty Cổ phần BSC Việt Nam (vi),Đại Dương Xanh (ii) > Công ty Cổ phần BSC Việt Nam (vi),Công ty Cổ phần BSC Việt Nam (vi),53.950.694.902,-,53950694902.0,
Nhận ứng trước tiền chuyển nhượng THT (vii),Đại Dương Xanh (ii) > Nhận ứng trước tiền chuyển nhượng THT (vii),Nhận ứng trước tiền chuyển nhượng THT (vii),50.000.000.000,-,50000000000.0,
Công ty Cổ phần Bán lẻ và Quản lý Bất động sản,Đại Dương Xanh (ii) > Công ty Cổ phần Bán lẻ và Quản lý Bất động sản,Công ty Cổ phần Bán lẻ và Quản lý Bất động sản,36.115.522.222,36.450.800.000,36115522222.0,36450800000.0
Đại Dương (viii),Đại Dương (viii),Đại Dương (viii),Đại Dương (viii),Đại Dương (viii),,
Công ty TNHH MTV Gió Hát (ix),Đại Dương (viii) > Công ty TNHH MTV Gió Hát (ix),Công ty TNHH MTV Gió Hát (ix),36.090.811.985,36.090.811.985,36090811985.0,36090811985.0
Công ty Cổ phần Giáo dục Quốc tế Thần đồng (x),Đại Dương (viii) > Công ty Cổ phần Giáo dục Quốc tế Thần đồng (x),Công ty Cổ phần Giáo dục Quốc tế Thần đồng (x),36.008.500.000,52.466.833.333,36008500000.0,52466833333.0
Công ty Cổ phần Thương mại và Đầu tư,Đại Dương (viii) > Công ty Cổ phần Thương mại và Đầu tư,Công ty Cổ phần Thương mại và Đầu tư,33.672.222.222,33.672.222.222,33672222222.0,33672222222.0
Mạnh Hà (ix),Mạnh Hà (ix),Mạnh Hà (ix),Mạnh Hà (ix),Mạnh Hà (ix),,
Công ty Cổ phần Đầu tư và Thương mại,Mạnh Hà (ix) > Công ty Cổ phần Đầu tư và Thương mại,Công ty Cổ phần Đầu tư và Thương mại,32.826.888.888,32.826.888.888,32826888888.0,32826888888.0
Vneco Hà Nội (ix),Vneco Hà Nội (ix),Vneco Hà Nội (ix),Vneco Hà Nội (ix),Vneco Hà Nội (ix),,
Công ty Cổ phần Tư vấn Đầu tư Xây dựng và,Vneco Hà Nội (ix) > Công ty Cổ phần Tư vấn Đầu tư Xây dựng và,Công ty Cổ phần Tư vấn Đầu tư Xây dựng và,30.336.667.000,30.336.667.000,30336667000.0,30336667000.0
Kinh doanh nhà (ix),Kinh doanh nhà (ix),Kinh doanh nhà (ix),Kinh doanh nhà (ix),Kinh doanh nhà (ix),,
Công ty Cổ phần Đầu tư Lawn Hồng (xì),Kinh doanh nhà (ix) > Công ty Cổ phần Đầu tư Lawn Hồng (xì),Công ty Cổ phần Đầu tư Lawn Hồng (xì),18.788.834.489,18.788.834.489,18788834489.0,18788834489.0
Bà Hừa Thị Bích Hạnh (xii),Kinh doanh nhà (ix) > Bà Hừa Thị Bích Hạnh (xii),Bà Hừa Thị Bích Hạnh (xii),-,116.504.288.300,,116504288300.0
Khác,Kinh doanh nhà (ix) > Khác,Khác,26.092.946.505,78.214.531.910,26092946505.0,78214531910.0
,,,1.004.346.429.725,1.722.289.844.275,1004346429725.0,1722289844275.0
b. Dải hạn,b. Dải hạn,b. Dải hạn,b. Dải hạn,b. Dải hạn,,
Công ty Cổ phần Đầu tư Nông nghiệp Công nghệ cao,b. Dải hạn > Công ty Cổ phần Đầu tư Nông nghiệp Công nghệ cao,Công ty Cổ phần Đầu tư Nông nghiệp Công nghệ cao,220.500.000.000,220.500.000.000,220500000000.0,220500000000.0
Hà Nội (xiii),Hà Nội (xiii),Hà Nội (xiii),Hà Nội (xiii),Hà Nội (xiii),,
Công ty Cổ phần Giáo dục Quốc tế Thần đồng (xiv),Hà Nội (xiii) > Công ty Cổ phần Giáo dục Quốc tế Thần đồng (xiv),Công ty Cổ phần Giáo dục Quốc tế Thần đồng (xiv),200.000.000.000,397.500.000.000,200000000000.0,397500000000.0
Công ty Cổ phần Thương mại và Đầu tư,Hà Nội (xiii) > Công ty Cổ phần Thương mại và Đầu tư,Công ty Cổ phần Thương mại và Đầu tư,200.000.000.000,200.000.000.000,200000000000.0,200000000000.0
Mạnh Hà (xv),Mạnh Hà (xv),Mạnh Hà (xv),Mạnh Hà (xv),Mạnh Hà (xv),,
Công ty TNHH Gió Hát (xvi),Mạnh Hà (xv) > Công ty TNHH Gió Hát (xvi),Công ty TNHH Gió Hát (xvi),70.067.483.056,70.067.483.056,70067483056.0,70067483056.0
Công ty Cổ phần Xây dựng Thương mại,Mạnh Hà (xv) > Công ty Cổ phần Xây dựng Thương mại,Công ty Cổ phần Xây dựng Thương mại,27.329.122.726,39.406.035.910,27329122726.0,39406035910.0
Hoàng Thành (xvii),Hoàng Thành (xvii),Hoàng Thành (xvii),Hoàng Thành (xvii),Hoàng Thành (xvii),,
Công ty Cổ phần Vincom Retail,Hoàng Thành (xvii) > Công ty Cổ phần Vincom Retail,Công ty Cổ phần Vincom Retail,-,700.000.000.000,,700000000000.0
