row_label_raw,row_label_full,col_0,31/12/2015,31/12/2014(Trình bày lại),numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
,,,VND,VND,,
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
Ông Hà Trọng Nam (xv),b. Dài hạn > Ông Hà Trọng Nam (xv),Ông Hà Trọng Nam (xv),500.000.000.000,500.000.000.000,500000000000.0,500000000000.0
Ngân hàng Thương mại TNHH MTV Đại Dương (xxvi),b. Dài hạn > Ngân hàng Thương mại TNHH MTV Đại Dương (xxvi),Ngân hàng Thương mại TNHH MTV Đại Dương (xxvi),40.000.000.000,40.000.000.000,40000000000.0,40000000000.0
Đặt cọc dài hạn,b. Dài hạn > Đặt cọc dài hạn,Đặt cọc dài hạn,2.206.279.171,2.855.378.157,2206279171.0,2855378157.0
Tổng Công ty Cổ phần Xây dựng và Xuất nhập khẩu Việt Nam (xxvii),b. Dài hạn > Tổng Công ty Cổ phần Xây dựng và Xuất nhập khẩu Việt Nam (xxvii),Tổng Công ty Cổ phần Xây dựng và Xuất nhập khẩu Việt Nam (xxvii),,650.000.000.000,,650000000000.0
Các đối tượng khác,b. Dài hạn > Các đối tượng khác,Các đối tượng khác,6.300.414.841,6.520.988.776,6300414841.0,6520988776.0
,,,548.506.694.012,1.199.376.366.933,548506694012.0,1199376366933.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
Các khoản phải thu khác từ các bên liên quan(Số dư chú yếu với các bên liên quan được trình bày tạiThuyết minh số 43),Trong đó > Các khoản phải thu khác từ các bên liên quan(Số dư chú yếu với các bên liên quan được trình bày tạiThuyết minh số 43),Các khoản phải thu khác từ các bên liên quan(Số dư chú yếu với các bên liên quan được trình bày tạiThuyết minh số 43),1.217.666.342.110,1.007.906.639.007,1217666342110.0,1007906639007.0
