row_label_raw,row_label_full,31/12/2015,Dưới 1 năm,Từ 1-5 năm,Tổng,numeric__Dưới 1 năm,numeric__Từ 1-5 năm,numeric__Tổng
,,,VND,VND,VND,,,
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,239.450.141.907,-,239.450.141.907,239450141907.0,,239450141907.0
"Phải thu khách hàng, cho vay vàphải thu khác","Phải thu khách hàng, cho vay vàphải thu khác","Phải thu khách hàng, cho vay vàphải thu khác",1.581.901.500.254,(20.493.305.988),1.561.408.194.266,1581901500254.0,-20493305988.0,1561408194266.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,117.171.913.956,-,117.171.913.956,117171913956.0,,117171913956.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,350.404.142.494,350.404.142.494,,350404142494.0,350404142494.0
Tổng cộng,Tổng cộng,Tổng cộng,1.938.523.556.117,329.910.836.506,2.268.434.392.623,1938523556117.0,329910836506.0,2268434392623.0
31/12/2015,31/12/2015,31/12/2015,Dưới 1 năm,Từ 1-5 năm,Tổng,,,
,,,VND,VND,VND,,,
Vay và nợ tài chính,31/12/2015 > Vay và nợ tài chính,Vay và nợ tài chính,1.006.484.456.582,575.477.972.129,1.581.962.428.711,1006484456582.0,575477972129.0,1581962428711.0
Phải trả người bán và phải trảkhác,31/12/2015 > Phải trả người bán và phải trảkhác,Phải trả người bán và phải trảkhác,793.393.459.996,733.680.902.249,1.527.074.362.245,793393459996.0,733680902249.0,1527074362245.0
Chi phí phải trả,31/12/2015 > Chi phí phải trả,Chi phí phải trả,294.656.902.363,-,294.656.902.363,294656902363.0,,294656902363.0
Tổng cộng,31/12/2015 > Tổng cộng,Tổng cộng,2.094.534.818.941,1.309.158.874.378,3.403.693.693.319,2094534818941.0,1309158874378.0,3403693693319.0
Chênh lệch thanh khoản thuần,31/12/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(156.011.262.824),(979.248.037.872),(1.135.259.300.696),-156011262824.0,-979248037872.0,-1135259300696.0
31/12/2014,31/12/2014,31/12/2014,Dưới 1 năm,Từ 1-5 năm,Tổng,,,
,,,VND,VND,VND,,,
Tiền và các khoản tương đương tiền,31/12/2014 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,238.779.912.156,-,238.779.912.156,238779912156.0,,238779912156.0
"Phải thu khách hàng, cho vay vàphải thu khác","31/12/2014 > Phải thu khách hàng, cho vay vàphải thu khác","Phải thu khách hàng, cho vay vàphải thu khác",2.047.331.124.483,673.769.266.934,2.721.100.391.417,2047331124483.0,673769266934.0,2721100391417.0
Đầu tư ngắn hạn,31/12/2014 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,154.684.723.956,-,154.684.723.956,154684723956.0,,154684723956.0
Đầu tư dài hạn,31/12/2014 > Đầu tư dài hạn,Đầu tư dài hạn,-,543.766.994.366,543.766.994.366,,543766994366.0,543766994366.0
Tổng cộng,31/12/2014 > Tổng cộng,Tổng cộng,2.440.795.760.595,1.217.536.261.300,3.658.332.021.895,2440795760595.0,1217536261300.0,3658332021895.0
31/12/2014,31/12/2014,31/12/2014,Dưới 1 năm,Từ 1-5 năm,Tổng,,,
,,,VND,VND,VND,,,
Vay và nợ tài chính,31/12/2014 > Vay và nợ tài chính,Vay và nợ tài chính,1.005.010.770.085,629.654.914.932,1.634.665.685.017,1005010770085.0,629654914932.0,1634665685017.0
Phải trả người bán và phải trảkhác,31/12/2014 > Phải trả người bán và phải trảkhác,Phải trả người bán và phải trảkhác,1.466.444.881.518,2.527.107.727.694,3.993.552.609.212,1466444881518.0,2527107727694.0,3993552609212.0
Chi phí phải trả,31/12/2014 > Chi phí phải trả,Chi phí phải trả,188.710.654.091,-,188.710.654.091,188710654091.0,,188710654091.0
Tổng cộng,31/12/2014 > Tổng cộng,Tổng cộng,2.660.166.305.694,3.156.762.642.626,5.816.928.948.320,2660166305694.0,3156762642626.0,5816928948320.0
Chênh lệch thanh khoản thuần,31/12/2014 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(219.370.545.099),(1.939.226.381.326),(2.158.596.926.425),-219370545099.0,-1939226381326.0,-2158596926425.0
