row_label_raw,row_label_full,col_0,Bất động sảnvà đầu tưVND,Chứng khoánVND,Khách sạnVND,"Kinh doanh,thương iterative VND",Hoạt động khácVND,Bù trừhợp nhấtVND,Tổng cộngVND,numeric__Bất động sảnvà đầu tưVND,numeric__Chứng khoánVND,numeric__Khách sạnVND,"numeric__Kinh doanh,thương iterative VND",numeric__Hoạt động khácVND,numeric__Bù trừhợp nhấtVND,numeric__Tổng cộngVND
Tổng tài sản tại ngày 31/12/2015,Tổng tài sản tại ngày 31/12/2015,Tổng tài sản tại ngày 31/12/2015,3.419.890.336.942,60.109.465.200,2.213.609.879.643,700.718.769.528,1.824.539.547.157,(1.298.758.507.054),6.920.109.491.415,3419890336942.0,60109465200.0,2213609879643.0,700718769528.0,1824539547157.0,-1298758507054.0,6920109491415.0
Tổng nợ phải trả tại ngày 31/12/2015,Tổng nợ phải trả tại ngày 31/12/2015,Tổng nợ phải trả tại ngày 31/12/2015,(1.996.481.837.498),-,(1.866.209.439.424),(870.713.110.566),(397.973.125.468),249.546.836.680,(4.881.830.676.276),-1996481837498.0,,-1866209439424.0,-870713110566.0,-397973125468.0,249546836680.0,-4881830676276.0
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu thuần bán hàng và cung cấpdịch vụ ra bên ngoài,Doanh thu > Doanh thu thuần bán hàng và cung cấpdịch vụ ra bên ngoài,Doanh thu thuần bán hàng và cung cấpdịch vụ ra bên ngoài,128.972.549.932,-,267.554.970.811,510.777.505.399,25.923.245.588,-,933.228.271.730,128972549932.0,,267554970811.0,510777505399.0,25923245588.0,,933228271730.0
Doanh thu nội bộ Tập đoàn,Doanh thu > Doanh thu nội bộ Tập đoàn,Doanh thu nội bộ Tập đoàn,-,-,-,-,-,(2.811.952.214),(2.811.952.214),,,,,,-2811952214.0,-2811952214.0
Các khoản giảm trừ doanh thu,Doanh thu > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(100.069.773),,(402.670.996),(200.870.553),,-,(703.611.322),-100069773.0,,-402670996.0,-200870553.0,,,-703611322.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,128.872.480.159,-,267.152.299.815,510.576.634.846,25.923.245.588,(2.811.952.214),929.712.708.194,128872480159.0,,267152299815.0,510576634846.0,25923245588.0,-2811952214.0,929712708194.0
Giá vốn hàng bán và cung cấp dịch vụ,Doanh thu > Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,58.558.874.878,-,163.369.967.397,289.264.519.356,9.100.623.264,(2.811.952.214),517.482.032.681,58558874878.0,,163369967397.0,289264519356.0,9100623264.0,-2811952214.0,517482032681.0
Lợi nhuận góp từ hoạt động kinh doanh,Doanh thu > Lợi nhuận góp từ hoạt động kinh doanh,Lợi nhuận góp từ hoạt động kinh doanh,70.313.605.281,-,103.782.332.418,221.312.115.490,16.822.622.324,-,412.230.675.513,70313605281.0,,103782332418.0,221312115490.0,16822622324.0,,412230675513.0
(Lỗ) khác,Doanh thu > (Lỗ) khác,(Lỗ) khác,-,-,-,-,(65.012.149.322),-,(65.012.149.322),,,,,-65012149322.0,,-65012149322.0
Chi phí phân bổ,Doanh thu > Chi phí phân bổ,Chi phí phân bổ,(172.091.480.552),-,(356.745.169.731),(681.804.904.486),(34.616.930.693),3.754.975.610,(1.241.503.509.852),-172091480552.0,,-356745169731.0,-681804904486.0,-34616930693.0,3754975610.0,-1241503509852.0
Kết quả kinh doanh bộ phận,Doanh thu > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,242.405.085.833,-,460.527.502.149,903.117.019.976,(13.572.596.305),(3.754.975.610),1.588.722.036.043,242405085833.0,,460527502149.0,903117019976.0,-13572596305.0,-3754975610.0,1588722036043.0
Doanh thu hoạt động tài chính,Doanh thu > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,1.821.394.583.489,,,,,,,1821394583489.0
Chi phí tài chính,Doanh thu > Chi phí tài chính,Chi phí tài chính,,,,,,,(182.743.018.133),,,,,,,-182743018133.0
Lợi nhuận trong công ty liên kết,Doanh thu > Lợi nhuận trong công ty liên kết,Lợi nhuận trong công ty liên kết,,,,,,,(18.208.705.539),,,,,,,-18208705539.0
Lãi trước thuế,Doanh thu > Lãi trước thuế,Lãi trước thuế,,,,,,,726.157.876.156,,,,,,,726157876156.0
Chi phí thuế TNDN hiện hành,Doanh thu > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,,44.625.916.660,,,,,,,44625916660.0
Chi phí thuế thu nhập hoãn lại,Doanh thu > Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,,,,,,,344.739.945,,,,,,,344739945.0
Lãi trong năm,Doanh thu > Lãi trong năm,Lãi trong năm,,,,,,,681.187.219.551,,,,,,,681187219551.0
