row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Vốn khác của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Quỹ dự phòng tài chính VND,Quỹ khác thuộc vốn chủ sở hữu (Trianh bày lại) VND,Lợi nhuận sản thuế chưa phải phối (Trianh bày lại) VND,Lợi ích cổ đông không kiểm soát (Trianh bày lại) VND,Tổng cộng (Trianh bày lại) VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ dự phòng tài chính VND,numeric__Quỹ khác thuộc vốn chủ sở hữu (Trianh bày lại) VND,numeric__Lợi nhuận sản thuế chưa phải phối (Trianh bày lại) VND,numeric__Lợi ích cổ đông không kiểm soát (Trianh bày lại) VND,numeric__Tổng cộng (Trianh bày lại) VND
Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,3.009.000.000.000,(10.000),1.286.825.482,64.849.777.328,41.566.676.183,14.176.302.771,34.357.876.258,837.360.349.910,3.993.597.797.932,3009000000000.0,-10000.0,1286825482.0,64849777328.0,41566676183.0,14176302771.0,34357876258.0,837360349910.0,3993597797932.0
Lỗ trong năm,Lỗ trong năm,Lỗ trong năm,-,-,-,-,-,-,(2.406.580.235.012),(338.371.077.569),(2.744.951.312.581),,,,,,,-2406580235012.0,-338371077569.0,-2744951312581.0
Chia cổ tức năm 2013,Chia cổ tức năm 2013,Chia cổ tức năm 2013,-,-,-,-,-,-,(75.000.000.000),-,(75.000.000.000),,,,,,,-75000000000.0,,-75000000000.0
Phân phối các quỹ và chia cổ tức cho cổ đông không kiểm soát,Phân phối các quỹ và chia cổ tức cho cổ đông không kiểm soát,Phân phối các quỹ và chia cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,-,-,(49.255.323.295),(49.255.323.295),,,,,,,,-49255323295.0,-49255323295.0
Trích quỹ khen thưởng phúc lợi và ban điều hành,Trích quỹ khen thưởng phúc lợi và ban điều hành,Trích quỹ khen thưởng phúc lợi và ban điều hành,-,-,-,-,-,-,(4.336.855.423),-,(4.336.855.423),,,,,,,-4336855423.0,,-4336855423.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,-,-,4.768.959.930,1.401.501.459,1.401.501.459,(7.571.962.848),-,-,,,,4768959930.0,1401501459.0,1401501459.0,-7571962848.0,,
Thoái vốn công ty con Giảm khác,Thoái vốn công ty con Giảm khác,Thoái vốn công ty con Giảm khác,-,-,-,(5.368.751.019),-,(523.437.371),(1.890.436.853),226.713.225.930,226.713.225.930,,,,-5368751019.0,,-523437371.0,-1890436853.0,226713225930.0,226713225930.0
Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,3.000.000.000.000,(10.000),1.286.825.482,64.249.986.239,42.968.177.642,15.054.366.859,(2.461.821.613.878),642.368.992.815,1.304.906.725.159,3000000000000.0,-10000.0,1286825482.0,64249986239.0,42968177642.0,15054366859.0,-2461821613878.0,642368992815.0,1304906725159.0
Áp dụng chính sách kế toán mới,Áp dụng chính sách kế toán mới,Áp dụng chính sách kế toán mới,-,-,-,42.968.177.642,(42.968.177.642),-,-,-,-,,,,42968177642.0,-42968177642.0,,,,
Số dư tại ngày 01/01/2015 được trình bày lại,Số dư tại ngày 01/01/2015 được trình bày lại,Số dư tại ngày 01/01/2015 được trình bày lại,3.000.000.000.000,(10.000),1.286.825.482,107.218.163.881,-,15.054.366.859,(2.461.421.613.878),642.368.992.815,1.304.906.725.159,3000000000000.0,-10000.0,1286825482.0,107218163881.0,,15054366859.0,-2461421613878.0,642368992815.0,1304906725159.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,-,-,-,-,621.262.070.699,59.925.148.852,681.187.219.551,,,,,,,621262070699.0,59925148852.0,681187219551.0
Trích quỹ khen thưởng phúc lợi và ban điều hành,Trích quỹ khen thưởng phúc lợi và ban điều hành,Trích quỹ khen thưởng phúc lợi và ban điều hành,-,-,-,-,-,-,(2.172.238.358),(1.051.741.784),(3.223.980.142),,,,,,,-2172238358.0,-1051741784.0,-3223980142.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,-,-,2.873.321.454,-,-,(2.873.321.454),-,-,,,,2873321454.0,,,-2873321454.0,,
Phân loại lại theo Thông tư 200,Phân loại lại theo Thông tư 200,Phân loại lại theo Thông tư 200,-,-,-,-,-,-,9.416.477.734,(8.622.213.840),794.263.894,,,,,,,9416477734.0,-8622213840.0,794263894.0
Thoái vốn văn năm quyền kiểm soát,Thoái vốn văn năm quyền kiểm soát,Thoái vốn văn năm quyền kiểm soát,-,-,-,(1.718.282.333),-,(709.294.020),59.192.570.607,6.640.065.143,63.405.059.397,,,,-1718282333.0,,-709294020.0,59192570607.0,6640065143.0,63405059397.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,-,(3.986.166.553),(4.804.306.167),(8.790.472.720),,,,,,,-3986166553.0,-4804306167.0,-8790472720.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,3.000.000.000.000,(10.000),1.286.825.482,108.373.203.002,-,14.345.072.839,(1.780.182.221.203),694.455.945.019,2.038.278.815.139,3000000000000.0,-10000.0,1286825482.0,108373203002.0,,14345072839.0,-1780182221203.0,694455945019.0,2038278815139.0
