row_label_raw,row_label_full,STT,Công ty liên kết,Nơi thành lập (hoặc đăng ký) và hoạt động,Tỷ lệ phần số hữu (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,numeric__Công ty liên kết,numeric__Nơi thành lập (hoặc đăng ký) và hoạt động,numeric__Tỷ lệ phần số hữu (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
1,1,1,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Bắc Ninh,"21,00%","21,00%","Xây dựng công trình đường sắt, đường bộ",,,0.21,0.21,
2,2,2,Công ty Cổ phần Chứng khoán Đại Dương,Hà Nội,"37,5%","37,5%",Kinh doanh chứng khoán,,,0.375,0.375,
