row_label_raw,row_label_full,31/12/2018,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,417.823.626.254,-,417.823.626.254,417823626254.0,,417823626254.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,1.699.000.000.000,-,1.699.000.000.000,1699000000000.0,,1699000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,82.586.988.025,-,82.586.988.025,82586988025.0,,82586988025.0
Phải thu khác,Phải thu khác,Phải thu khác,19.045.039.385,690.181.497,19.735.220.882,19045039385.0,690181497.0,19735220882.0
Cộng,Cộng,Cộng,2.218.455.653.664,690.181.497,2.219.145.835.161,2218455653664.0,690181497.0,2219145835161.0
01/01/2018,01/01/2018,01/01/2018,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2018 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,527.781.193.851,-,527.781.193.851,527781193851.0,,527781193851.0
Đầu tư nằm giữ đến ngày đáo hạn,01/01/2018 > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,751.000.000.000,-,751.000.000.000,751000000000.0,,751000000000.0
Phải thu khách hàng,01/01/2018 > Phải thu khách hàng,Phải thu khách hàng,18.503.012.024,-,18.503.012.024,18503012024.0,,18503012024.0
Phải thu khác,01/01/2018 > Phải thu khác,Phải thu khác,766.220.086.912,690.181.497,766.910.268.409,766220086912.0,690181497.0,766910268409.0
Cộng,01/01/2018 > Cộng,Cộng,2.063.504.292.787,690.181.497,2.064.194.474.284,2063504292787.0,690181497.0,2064194474284.0
