row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2018 VND,01/01/2018 VND,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2018 VND,numeric__01/01/2018 VND
C.,C.,C.,NỘ PHẢI TRẢ,300,,2.675.145.080.629,2.521.101.904.763,,300.0,,2675145080629.0,2521101904763.0
I.,I.,I.,Nợ ngắn hạn,310,,2.656.378.039.717,2.357.237.070.558,,310.0,,2656378039717.0,2357237070558.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,444.235.146.746,539.578.520.767,,311.0,17.0,444235146746.0,539578520767.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,18,37.053.163.709,37.665.606.369,,312.0,18.0,37053163709.0,37665606369.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,19,107.128.964.954,80.018.067.682,,313.0,19.0,107128964954.0,80018067682.0
4.,4.,4.,Phải trả người lao động,314,,107.990.980.301,109.774.143.982,,314.0,,107990980301.0,109774143982.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,20,3.008.342.529,1.497.281.684,,315.0,20.0,3008342529.0,1497281684.0
6.,6.,6.,Phải trả ngắn hạn khác,319,21.a,177.658.931.683,142.880.128.288,,319.0,,177658931683.0,142880128288.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,22.a,1.727.184.074.877,1.404.083.049.153,,320.0,,1727184074877.0,1404083049153.0
8.,8.,8.,"Quỹ khen thưởng, phúc lợi",322,,52.118.434.918,41.740.272.633,,322.0,,52118434918.0,41740272633.0
II.,II.,II.,Nợ dài hạn,330,,18.767.040.912,163.864.834.205,,330.0,,18767040912.0,163864834205.0
1.,1.,1.,Phải trả dài hạn khác,337,21.b,10.331.856.189,9.644.281.412,,337.0,,10331856189.0,9644281412.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,22.b,-,145.171.459.706,,338.0,,,145171459706.0
3.,3.,3.,Quỹ phát triển khoa học và công nghệ,343,23,8.435.184.723,9.049.093.087,,343.0,23.0,8435184723.0,9049093087.0
D.,D.,D.,VỐN CHỦ SỐ HỮU,400,,6.123.282.670.770,5.233.753.442.620,,400.0,,6123282670770.0,5233753442620.0
I.,I.,I.,Vốn chủ sở hữu,410,24,6.123.282.670.770,5.233.753.442.620,,410.0,24.0,6123282670770.0,5233753442620.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,24,2.925.746.090.000,2.438.130.540.000,,411.0,24.0,2925746090000.0,2438130540000.0
,,,- Có phiếu phố thông có quyền biểu quyết,411a,,2.925.746.090.000,2.438.130.540.000,,,,2925746090000.0,2438130540000.0
,,,- Có phiếu ưu đãi,411b,,-,-,,,,,
2.,2.,2.,Thặng dư vốn cổ phần,412,24,288.320.082.456,288.335.082.456,,412.0,24.0,288320082456.0,288335082456.0
3.,3.,3.,Quỹ đầu tư phát triển,418,24,505.806.238.330,454.466.302.694,,418.0,24.0,505806238330.0,454466302694.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,24,2.403.410.259.984,2.052.821.517.470,,421.0,24.0,2403410259984.0,2052821517470.0
,,,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,1.371.423.530.580,1.232.249.976.389,,,,1371423530580.0,1232249976389.0
,,,- LNST chưa phân phối kỳ này,421b,,1.031.986.729.404,820.571.541.081,,,,1031986729404.0,820571541081.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,440,,8.798.427.751.399,7.754.855.347.383,,440.0,,8798427751399.0,7754855347383.0
