row_label_raw,row_label_full,col_0,Máy móc thiết bị,Cộng,numeric__Máy móc thiết bị,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,566.855.012.526,566.855.012.526,566855012526.0,566855012526.0
Thuê tài chính trong năm,Nguyên giá > Thuê tài chính trong năm,Thuê tài chính trong năm,38.691.669.854,38.691.669.854,38691669854.0,38691669854.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,605.546.682.380,605.546.682.380,605546682380.0,605546682380.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,,
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,
Số đầu năm,Khấu hao > Số đầu năm,Số đầu năm,316.485.954.204,316.485.954.204,316485954204.0,316485954204.0
Khấu hao trong năm,Khấu hao > Khấu hao trong năm,Khấu hao trong năm,53.025.018.711,53.025.018.711,53025018711.0,53025018711.0
Giảm khác,Khấu hao > Giảm khác,Giảm khác,369.510.972.915,369.510.972.915,369510972915.0,369510972915.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,250.369.058.322,250.369.058.322,250369058322.0,250369058322.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,,
