row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm 2018 VND,Năm 2017 VND,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2018 VND,numeric__Năm 2017 VND
1.,1.,1.,Doanh thu bán hàng & cung cấp dịch vụ,01,26,7.744.768.270.850,7.336.457.993.167,,1.0,26.0,7744768270850.0,7336457993167.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,27,39.230.367.177,35.650.775.364,,2.0,27.0,39230367177.0,35650775364.0
3.,3.,3.,Doanh thu thuần về bán hàng & cc dịch vụ,10,,7.705.537.903.673,7.300.807.217.803,,10.0,,7705537903673.0,7300807217803.0
4.,4.,4.,Giá vốn hàng bán,11,28,5.451.328.578.200,5.346.778.629.319,,11.0,28.0,5451328578200.0,5346778629319.0
5.,5.,5.,Lợi nhuận gộp về bán hàng & cc dịch vụ,20,,2.254.209.325.473,1.954.028.588.484,,20.0,,2254209325473.0,1954028588484.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,29,170.323.902.343,74.689.481.658,,21.0,29.0,170323902343.0,74689481658.0
7.,7.,7.,Chi phí tài chính,22,30,96.152.814.482,78.015.189.109,,22.0,30.0,96152814482.0,78015189109.0
,,,Trong đó: Chi phí lãi vay,23,,90.021.145.503,76.532.882.170,,23.0,,90021145503.0,76532882170.0
8.,8.,8.,Chi phí bán hàng,25,31.a,724.593.390.895,660.168.825.227,,25.0,,724593390895.0,660168825227.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,31.b,171.982.777.628,140.822.611.518,,26.0,,171982777628.0,140822611518.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,1.431.804.244.811,1.149.711.444.288,,30.0,,1431804244811.0,1149711444288.0
11.,11.,11.,Thu nhập khác,31,32,58.319.044.611,28.722.269.123,,31.0,32.0,58319044611.0,28722269123.0
12.,12.,12.,Chi phí khác,32,33,804.049.086,2.530.198.007,,32.0,33.0,804049086.0,2530198007.0
13.,13.,13.,Lợi nhuận khác,40,,57.514.995.525,26.192.071.116,,40.0,,57514995525.0,26192071116.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế,50,,1.489.319.240.336,1.175.903.515.404,,50.0,,1489319240336.0,1175903515404.0
15.,15.,15.,Chi phí thuế TNDN hiện hành,51,34,164.757.901.932,111.420.706.857,,51.0,34.0,164757901932.0,111420706857.0
16.,16.,16.,Chi phí thuế TNDN hoãn lại,52,,-,98.213.466,,52.0,,,98213466.0
17.,17.,17.,Lợi nhuận sau thuế TNDN,60,,1.324.561.338.404,1.064.384.595.081,,60.0,,1324561338404.0,1064384595081.0
