row_label_raw,row_label_full,Báo cáo bộ phân theo hoạt động kinh doanh,Sản phẩm đường,Sản phẩm đường_1,Sản phẩm Sữa đậu nành,Sản phẩm Sữa đậu nành_1,Khác,Khác_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm đường,numeric__Sản phẩm đường_1,numeric__Sản phẩm Sữa đậu nành,numeric__Sản phẩm Sữa đậu nành_1,numeric__Khác,numeric__Khác_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phân theo hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh,Năm 2018,Năm 2017,Năm 2018,Năm 2017,Năm 2018,Năm 2017,Năm 2018,Năm 2017,,,,,,,,
Doanh thu bộ phân,Báo cáo bộ phân theo hoạt động kinh doanh > Doanh thu bộ phân,Doanh thu bộ phân,2.250.918.920.910,1.867.155.971.510,3.862.620.494.387,3.885.376.251.685,1.591.998.488.376,1.548.274.994.608,7.705.537.903.673,7.300.807.217.803,2250918920910.0,1867155971510.0,3862620494387.0,3885376251685.0,1591998488376.0,1548274994608.0,7705537903673.0,7300807217803.0
Giá vốn bộ phân,Báo cáo bộ phân theo hoạt động kinh doanh > Giá vốn bộ phân,Giá vốn bộ phân,1.976.401.338.649,1.805.916.264.990,2.223.136.965.517,2.363.351.099.714,1.251.790.274.034,1.177.511.264.615,5.451.328.578.200,5.346.778.629.319,1976401338649.0,1805916264990.0,2223136965517.0,2363351099714.0,1251790274034.0,1177511264615.0,5451328578200.0,5346778629319.0
Lợi nhuận gộp,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,274.517.582.261,61.239.706.520,1.639.483.528.870,1.522.025.151.971,340.208.214.342,370.763.729.993,2.254.209.325.473,1.954.028.588.484,274517582261.0,61239706520.0,1639483528870.0,1522025151971.0,340208214342.0,370763729993.0,2254209325473.0,1954028588484.0
Doanh thu hoạt động tài chính,Báo cáo bộ phân theo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,170.323.902.343,74.689.481.658,,,,,,,170323902343.0,74689481658.0
Chi phí tài chính,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,96.152.814.482,78.015.189.109,,,,,,,96152814482.0,78015189109.0
Chi phí bán hàng,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,724.593.390.895,660.168.825.227,,,,,,,724593390895.0,660168825227.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,171.982.777.628,140.822.611.518,,,,,,,171982777628.0,140822611518.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,1.431.804.244.811,1.149.711.444.288,,,,,,,1431804244811.0,1149711444288.0
Thu nhập khác,Báo cáo bộ phân theo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,58.319.044.611,28.722.269.123,,,,,,,58319044611.0,28722269123.0
Chi phí khác,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,804.049.086,2.530.198.007,,,,,,,804049086.0,2530198007.0
Lợi nhuận khác,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,57.514.995.525,26.192.071.116,,,,,,,57514995525.0,26192071116.0
Lợi nhuận trước thuế,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,1.489.319.240.336,1.175.903.515.404,,,,,,,1489319240336.0,1175903515404.0
Thuế TNDN,Báo cáo bộ phân theo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,164.757.901.932,111.518.920.323,,,,,,,164757901932.0,111518920323.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,1.324.561.338.404,1.064.384.595.081,,,,,,,1324561338404.0,1064384595081.0
