row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Cổ phiếu quỹTriệu VND,Quỹ dự trữbố sungvốn điều lệTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Các quỹ khácTriệu VND,Lợi nhuận sauthuế chưa phânphốiTriệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Cổ phiếu quỹTriệu VND,numeric__Quỹ dự trữbố sungvốn điều lệTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Các quỹ khácTriệu VND,numeric__Lợi nhuận sauthuế chưa phânphốiTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,3.000.000,(34.200),85.143,179.490,3,118.980,3.349.416,3000000.0,-34200.0,85143.0,179490.0,3.0,118980.0,3349416.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,198.166,198.166,,,,,,198166.0,198166.0
Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,-,-,5.449,10.898,-,(16.347),-,,,5449.0,10898.0,,-16347.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,-,(13.279),(13.279),,,,,,-13279.0,-13279.0
Chuyển tiền trích lập quỹ cho Công ty con,Chuyển tiền trích lập quỹ cho Công ty con,Chuyển tiền trích lập quỹ cho Công ty con,-,-,-,-,-,(2.501),(2.501),,,,,,-2501.0,-2501.0
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,3.000.000,(34.200),90.592,190.388,3,285.019,3.531.802,3000000.0,-34200.0,90592.0,190388.0,3.0,285019.0,3531802.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,191.027,191.027,,,,,,191027.0,191027.0
Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,-,-,9.308,18.616,-,(27.924),-,,,9308.0,18616.0,,-27924.0,
Tăng vốn từ chia cổ tức bằng cổ phiếu và sửdụng quỹ dự trữ bổ sung vốn điều lệ,Tăng vốn từ chia cổ tức bằng cổ phiếu và sửdụng quỹ dự trữ bổ sung vốn điều lệ,Tăng vốn từ chia cổ tức bằng cổ phiếu và sửdụng quỹ dự trữ bổ sung vốn điều lệ,236.958,-,(88.859),-,-,(148.099),-,236958.0,,-88859.0,,,-148099.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,-,(31.839),(31.839),,,,,,-31839.0,-31839.0
Chuyển tiền trích lập quỹ cho Công ty con,Chuyển tiền trích lập quỹ cho Công ty con,Chuyển tiền trích lập quỹ cho Công ty con,-,-,-,-,-,(3.830),(3.830),,,,,,-3830.0,-3830.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,3.236.958,(34.200),11.041,209.004,3,264.354,3.687.160,3236958.0,-34200.0,11041.0,209004.0,3.0,264354.0,3687160.0
