row_label_raw,row_label_full,col_0,2018Triệu VND,2017Triệu VND,numeric__2018Triệu VND,numeric__2017Triệu VND
Thu nhập lãi và các khoản thu nhập tương tự từ,Thu nhập lãi và các khoản thu nhập tương tự từ,Thu nhập lãi và các khoản thu nhập tương tự từ,Thu nhập lãi và các khoản thu nhập tương tự từ,Thu nhập lãi và các khoản thu nhập tương tự từ,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Thu nhập lãi và các khoản thu nhập tương tự từ > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,132.962,91.771,132962.0,91771.0
Cho vay khách hàng,Thu nhập lãi và các khoản thu nhập tương tự từ > Cho vay khách hàng,Cho vay khách hàng,2.981.052,2.726.028,2981052.0,2726028.0
Chứng khoán đầu tư,Thu nhập lãi và các khoản thu nhập tương tự từ > Chứng khoán đầu tư,Chứng khoán đầu tư,51.070,87.575,51070.0,87575.0
Dịch vụ bảo lãnh,Thu nhập lãi và các khoản thu nhập tương tự từ > Dịch vụ bảo lãnh,Dịch vụ bảo lãnh,1.811,1.692,1811.0,1692.0
Khác,Thu nhập lãi và các khoản thu nhập tương tự từ > Khác,Khác,4.741,1.637,4741.0,1637.0
,,,3.171.636,2.908.703,3171636.0,2908703.0
Chi phí lãi và các chi phí tương tự cho,Chi phí lãi và các chi phí tương tự cho,Chi phí lãi và các chi phí tương tự cho,Chi phí lãi và các chi phí tương tự cho,Chi phí lãi và các chi phí tương tự cho,,
Tiền gửi và vay NHNNVN và các tổ chức tín dụng khác,Chi phí lãi và các chi phí tương tự cho > Tiền gửi và vay NHNNVN và các tổ chức tín dụng khác,Tiền gửi và vay NHNNVN và các tổ chức tín dụng khác,(11.373),(15.440),-11373.0,-15440.0
Tiền gửi của khách hàng,Chi phí lãi và các chi phí tương tự cho > Tiền gửi của khách hàng,Tiền gửi của khách hàng,(2.026.711),(1.741.762),-2026711.0,-1741762.0
Phát hành giấy tờ có giá,Chi phí lãi và các chi phí tương tự cho > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,(678),-,-678.0,
Khác,Chi phí lãi và các chi phí tương tự cho > Khác,Khác,(164.164),(109.966),-164164.0,-109966.0
,,,(2.202.926),(1.867.168),-2202926.0,-1867168.0
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự cho > Thu nhập lãi thuần,Thu nhập lãi thuần,968.710,1.041.535,968710.0,1041535.0
