row_label_raw,row_label_full,2018,2018_1,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Loại trừTriệu VND,TổngTriệu VND,numeric__2018_1,numeric__Miền BắcTriệu VND,numeric__Miền TrungTriệu VND,numeric__Miền NamTriệu VND,numeric__Loại trừTriệu VND,numeric__TổngTriệu VND
I.,I.,I.,Doanh thu,294.224,499.079,3.016.981,(423.343),3.386.941,,294224.0,499079.0,3016981.0,-423343.0,3386941.0
I.,I.,I.,Thu nhập lãi và các khoản thu nhập tương tự từ:,291.519,489.159,2.814.301,(423.343),3.171.636,,291519.0,489159.0,2814301.0,-423343.0,3171636.0
I.,I.,I.,Khách hàng bên ngoài,152.038,426.337,2.593.261,-,3.171.636,,152038.0,426337.0,2593261.0,,3171636.0
I.,I.,I.,Nội bộ,139.481,62.822,221.040,(423.343),-,,139481.0,62822.0,221040.0,-423343.0,
2.,2.,2.,Thu nhập từ hoạt động dịch vụ,1.633,3.383,18.234,-,23.250,,1633.0,3383.0,18234.0,,23250.0
3.,3.,3.,Doanh thu từ hoạt động kinh doanh khác,1.072,6.537,184.446,-,192.055,,1072.0,6537.0,184446.0,,192055.0
II.,II.,II.,Chi phí,(270.971),(416.892),(2.849.543),423.343,(3.114.063),,-270971.0,-416892.0,-2849543.0,423343.0,-3114063.0
II.,II.,II.,Chi phí lãi và các chi phí tương tự từ:,(221.045),(304.954),(2.100.270),423.343,(2.202.926),,-221045.0,-304954.0,-2100270.0,423343.0,-2202926.0
II.,II.,II.,Khách hàng bên ngoài,(204.029),(271.388),(1.727.509),-,(2.202.926),,-204029.0,-271388.0,-1727509.0,,-2202926.0
II.,II.,II.,Nội bộ,(17.016),(33.566),(372.761),423.343,-,,-17016.0,-33566.0,-372761.0,423343.0,
2.,2.,2.,Chi phí khấu hao tài sản cố định,(850),(6.559),(55.441),-,(62.850),,-850.0,-6559.0,-55441.0,,-62850.0
3.,3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(49.076),(105.379),(693.832),-,(848.287),,-49076.0,-105379.0,-693832.0,,-848287.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,23.253,82.187,167.438,-,272.878,,23253.0,82187.0,167438.0,,272878.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(6.808),(4.807),(26.029),-,(37.644),,-6808.0,-4807.0,-26029.0,,-37644.0
Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),16.445,77.380,141.409,-,235.234,,16445.0,77380.0,141409.0,,235234.0
31/12/2018,31/12/2018,31/12/2018,31/12/2018,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Loại trừTriệu VND,TổngTriệu VND,,,,,,
I.,31/12/2018 > I.,I.,Tài sản,1.481.188,4.657.885,36.396.050,-,42.535.123,,1481188.0,4657885.0,36396050.0,,42535123.0
I.,31/12/2018 > I.,I.,Tiền mặt,50.304,72.758,396.689,-,519.751,,50304.0,72758.0,396689.0,,519751.0
2.,31/12/2018 > 2.,2.,Tài sản cố định,5.366,269.748,1.209.191,-,1.484.305,,5366.0,269748.0,1209191.0,,1484305.0
3.,31/12/2018 > 3.,3.,Tài sản khác,1.425.518,4.315.379,34.790.170,-,40.531.067,,1425518.0,4315379.0,34790170.0,,40531067.0
II.,31/12/2018 > II.,II.,Nợ phải trả,2.941.037,4.216.600,31.690.326,-,38.847.963,,2941037.0,4216600.0,31690326.0,,38847963.0
II.,31/12/2018 > II.,II.,Nợ phải trả khách hàng bên ngoài,2.940.074,4.214.180,31.467.746,-,38.622.000,,2940074.0,4214180.0,31467746.0,,38622000.0
2.,31/12/2018 > 2.,2.,Nợ phải trả khác,963,2.420,222.580,-,225.963,,963.0,2420.0,222580.0,,225963.0
