row_label_raw,row_label_full,col_0,31/12/2018 > Mệnh giá Triệu VND,31/12/2018 > Giá trị ghi sổ Triệu VND,31/12/2017 > Mệnh giá Triệu VND,31/12/2017 > Giá trị ghi sổ Triệu VND,numeric__31/12/2018 > Mệnh giá Triệu VND,numeric__31/12/2018 > Giá trị ghi sổ Triệu VND,numeric__31/12/2017 > Mệnh giá Triệu VND,numeric__31/12/2017 > Giá trị ghi sổ Triệu VND
Bất động sản,Bất động sản,Bất động sản,,43.678.668,,34.995.209,,43678668.0,,34995209.0
Máy móc và thiết bị,Máy móc và thiết bị,Máy móc và thiết bị,,196.147,,133.971,,196147.0,,133971.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,,1.126.696,,893.811,,1126696.0,,893811.0
Cổ phiếu phát hành bởi tổ chức tín dụng khác,Cổ phiếu phát hành bởi tổ chức tín dụng khác,Cổ phiếu phát hành bởi tổ chức tín dụng khác,2.151.510,2.497.123,1.443.838,1.465.401,2151510.0,2497123.0,1443838.0,1465401.0
Cổ phiếu phát hành bởi tổ chức kinh tế khác,Cổ phiếu phát hành bởi tổ chức kinh tế khác,Cổ phiếu phát hành bởi tổ chức kinh tế khác,2.274.827,2.965.833,1.830.015,4.312.417,2274827.0,2965833.0,1830015.0,4312417.0
Số tiết kiệm,Số tiết kiệm,Số tiết kiệm,,3.103.887,,2.823.671,,3103887.0,,2823671.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,,46.901,,20.975,,46901.0,,20975.0
Khác,Khác,Khác,,463.725,,224.560,,463725.0,,224560.0
,,,,54.078.980,,44.870.015,,54078980.0,,44870015.0
