row_label_raw,row_label_full,2018,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócthiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,"Thiết bị, dụngcụ quản lýTriệu VND",Tài sản cố địnhhữu hình khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,"numeric__Thiết bị, dụngcụ quản lýTriệu VND",numeric__Tài sản cố địnhhữu hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,578.017,163.756,93.201,10.683,9.855,855.512,578017.0,163756.0,93201.0,10683.0,9855.0,855512.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,972,413,48,-,-,1.433,972.0,413.0,48.0,,,1433.0
Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 15(i)),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 15(i)),Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 15(i)),99.875,20.798,19.882,3.960,246,144.761,99875.0,20798.0,19882.0,3960.0,246.0,144761.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(677),(4.465),(230),-,(5.372),,-677.0,-4465.0,-230.0,,-5372.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(71),(108.972),(655),99.317,10.381,-,-71.0,-108972.0,-655.0,99317.0,10381.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,678.793,75.318,108.011,113.730,20.482,996.334,678793.0,75318.0,108011.0,113730.0,20482.0,996334.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,50.485,58.545,45.069,7.381,6.327,167.807,50485.0,58545.0,45069.0,7381.0,6327.0,167807.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,25.732,14.439,9.325,1.875,1.818,53.189,25732.0,14439.0,9325.0,1875.0,1818.0,53189.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(677),(2.458),(230),-,(3.365),,-677.0,-2458.0,-230.0,,-3365.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(12),(48.415),(479),48.637,269,-,-12.0,-48415.0,-479.0,48637.0,269.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,76.205,23.892,51.457,57.663,8.414,217.631,76205.0,23892.0,51457.0,57663.0,8414.0,217631.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,527.532,105.211,48.132,3.302,3.528,687.705,527532.0,105211.0,48132.0,3302.0,3528.0,687705.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,602.588,51.426,56.554,56.067,12.068,778.703,602588.0,51426.0,56554.0,56067.0,12068.0,778703.0
