row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm2017,Quá hạn > Trên 3thángTriệu VND,Quá hạn > Đến 3 thángTriệu VND,Trong hạn > Đến 1 thángTriệu VND,Trong hạn > Từ trên 1 đến3 thángTriệu VND,Trong hạn > Từ trên 3 đến12 thángTriệu VND,Trong hạn > Từ trên 1 đến5 nămTriệu VND,Trong hạn > Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạn > Trên 3thángTriệu VND,numeric__Quá hạn > Đến 3 thángTriệu VND,numeric__Trong hạn > Đến 1 thángTriệu VND,numeric__Trong hạn > Từ trên 1 đến3 thángTriệu VND,numeric__Trong hạn > Từ trên 3 đến12 thángTriệu VND,numeric__Trong hạn > Từ trên 1 đến5 nămTriệu VND,numeric__Trong hạn > Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,-,433.191,-,-,-,-,433.191,,,433191.0,,,,,433191.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,2.251.582,-,-,-,-,2.251.582,,,2251582.0,,,,,2251582.0
Tiền gửi và cho vay cáctổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay cáctổ chức tín dụng khác – gộp,Tiền gửi và cho vay cáctổ chức tín dụng khác – gộp,-,-,2.663.859,1.500.000,-,-,-,4.163.859,,,2663859.0,1500000.0,,,,4163859.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),207.110,112.008,3.183.636,2.254.348,8.703.964,4.719.263,5.505.174,24.685.503,207110.0,112008.0,3183636.0,2254348.0,8703964.0,4719263.0,5505174.0,24685503.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,-,151.064,126.038,1.511.973,520.730,2.309.805,,,,151064.0,126038.0,1511973.0,520730.0,2309805.0
"Gộp vốn, đầu tư dài hạn","Tài sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,-,-,-,-,-,514.521,514.521,,,,,,,514521.0,514521.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,858.841,540.413,1.399.254,,,,,,858841.0,540413.0,1399254.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,-,1.542.115,30.337,175.215,261.375,11.385,2.020.427,,,1542115.0,30337.0,175215.0,261375.0,11385.0,2020427.0
,,,207.110,112.008,10.074.383,3.935.749,9.005.217,7.351.452,7.092.223,37.778.142,207110.0,112008.0,10074383.0,3935749.0,9005217.0,7351452.0,7092223.0,37778142.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi và vay cáctổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay cáctổ chức tín dụng khác,Tiền gửi và vay cáctổ chức tín dụng khác,-,-,3.001.467,3.454.969,435.349,125.264,10.989,7.028.038,,,3001467.0,3454969.0,435349.0,125264.0,10989.0,7028038.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,7.544.403,5.510.347,12.450.198,721.502,718,26.227.168,,,7544403.0,5510347.0,12450198.0,721502.0,718.0,26227168.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,612.588,-,-,-,-,612.588,,,612588.0,,,,,612588.0
,,,-,-,11.158.458,8.965.316,12.885.547,846.766,11.707,33.867.794,,,11158458.0,8965316.0,12885547.0,846766.0,11707.0,33867794.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,207.110,112.008,(1.084.075),(5.029.567),(3.880.330),6.504.686,7.080.516,3.910.348,207110.0,112008.0,-1084075.0,-5029567.0,-3880330.0,6504686.0,7080516.0,3910348.0
