row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Tổng dư nợ tiền gửi và cho vay – gộpTriệu VND,Tổng tiền gửi và tiền vayTriệu VND,Phát hành giấy tờ có giáTriệu VND,Các cam kết tín dụng – gộpTriệu VND,Chứng khoán đầu tư – gộpTriệu VND,Công cụ tài chínhphái sinh (Tổng giá trị giao dịch theo hợp đồng)Triệu VND,numeric__Tổng dư nợ tiền gửi và cho vay – gộpTriệu VND,numeric__Tổng tiền gửi và tiền vayTriệu VND,numeric__Phát hành giấy tờ có giáTriệu VND,numeric__Các cam kết tín dụng – gộpTriệu VND,numeric__Chứng khoán đầu tư – gộpTriệu VND,numeric__Công cụ tài chínhphái sinh (Tổng giá trị giao dịch theo hợp đồng)Triệu VND
Trong nước,Trong nước,Trong nước,36.724.224,37.771.511,300.000,164.582,1.553.963,93.887,36724224.0,37771511.0,300000.0,164582.0,1553963.0,93887.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tổng dư nợ tiền gửi và cho vay – gộpTriệu VND,Tổng tiền gửi và tiền vayTriệu VND,Phát hành giấy tờ có giáTriệu VND,Các cam kết tín dụng – gộpTriệu VND,Chứng khoán đầu tư – gộpTriệu VND,Công cụ tài chínhphái sinh (Tổng giá trị giao dịch theo hợp đồng)Triệu VND,,,,,,
Trong nước,Tại ngày 31 tháng 12 năm 2017 > Trong nước,Trong nước,31.100.944,33.255.206,-,87.143,2.309.805,-,31100944.0,33255206.0,,87143.0,2309805.0,
