row_label_raw,row_label_full,2018,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Tài sân cố định vô hình khác Triệu VND,Tổng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sân cố định vô hình khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,687.916,61.425,6.345,755.686,687916.0,61425.0,6345.0,755686.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,88,88,,,88.0,88.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15(i)),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15(i)),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15(i)),2.464,6.082,1.401,9.947,2464.0,6082.0,1401.0,9947.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(7.148),-,-,(7.148),-7148.0,,,-7148.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,683.232,67.507,7.834,758.573,683232.0,67507.0,7834.0,758573.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.460,37.355,4.322,44.137,2460.0,37355.0,4322.0,44137.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.047,7.687,927,9.661,1047.0,7687.0,927.0,9661.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(827),-,-,(827),-827.0,,,-827.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.680,45.042,5.249,52.971,2680.0,45042.0,5249.0,52971.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,685.456,24.070,2.023,711.549,685456.0,24070.0,2023.0,711549.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,680.552,22.465,2.585,705.602,680552.0,22465.0,2585.0,705602.0
