row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Quá hạn > Trên 3 thángTriệu VND,Quá hạn > Đến 3 thángTriệu VND,Trong hạn > Đến 1 thángTriệu VND,Trong hạn > Từ trên 1 đến3 thángTriệu VND,Trong hạn > Từ trên 3 đến12 thángTriệu VND,Trong hạn > Từ trên 1 đến5 nămTriệu VND,Trong hạn > Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạn > Trên 3 thángTriệu VND,numeric__Quá hạn > Đến 3 thángTriệu VND,numeric__Trong hạn > Đến 1 thángTriệu VND,numeric__Trong hạn > Từ trên 1 đến3 thángTriệu VND,numeric__Trong hạn > Từ trên 3 đến12 thángTriệu VND,numeric__Trong hạn > Từ trên 1 đến5 nămTriệu VND,numeric__Trong hạn > Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,-,519.751,-,-,-,-,519.751,,,519751.0,,,,,519751.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,1.852.903,-,-,-,-,1.852.903,,,1852903.0,,,,,1852903.0
Tiền gửi và cho vay cáctổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay cáctổ chức tín dụng khác – gộp,Tiền gửi và cho vay cáctổ chức tín dụng khác – gộp,-,-,3.650.752,1.748.575,-,-,-,5.399.327,,,3650752.0,1748575.0,,,,5399327.0
Các công cụ tài chính phàisinh và các tài sản tài chínhkhác,Tài sản > Các công cụ tài chính phàisinh và các tài sản tài chínhkhác,Các công cụ tài chính phàisinh và các tài sản tài chínhkhác,-,-,987,-,-,-,-,987,,,987.0,,,,,987.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),277.718,289.714,4.083.044,2.219.890,9.784.151,4.889.471,7.928.006,29.471.994,277718.0,289714.0,4083044.0,2219890.0,9784151.0,4889471.0,7928006.0,29471994.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,-,-,86.141,1.467.822,-,1.553.963,,,,,86141.0,1467822.0,,1553963.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,514.521,514.521,,,,,,,514521.0,514521.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,637.932,107,6.178,49.680,790.408,1.484.305,,,637932.0,107.0,6178.0,49680.0,790408.0,1484305.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,-,1.310.671,46.178,398.779,233.648,100.906,2.090.182,,,1310671.0,46178.0,398779.0,233648.0,100906.0,2090182.0
,,,277.718,289.714,12.056.040,4.014.750,10.275.249,6.640.621,9.333.841,42.887.933,277718.0,289714.0,12056040.0,4014750.0,10275249.0,6640621.0,9333841.0,42887933.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,255.545,-,-,-,-,255.545,,,255545.0,,,,,255545.0
Tiền gửi và vay cáctổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay cáctổ chức tín dụng khác,Tiền gửi và vay cáctổ chức tín dụng khác,-,-,3.842.740,4.012.921,25.305,102.925,8.611,7.992.502,,,3842740.0,4012921.0,25305.0,102925.0,8611.0,7992502.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,9.221.151,5.919.900,13.473.477,908.114,822,29.523.464,,,9221151.0,5919900.0,13473477.0,908114.0,822.0,29523464.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,300.000,-,-,300.000,,,,,300000.0,,,300000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,340.179,160.827,271.785,3.562,99,776.452,,,340179.0,160827.0,271785.0,3562.0,99.0,776452.0
,,,-,-,13.659.615,10.093.648,14.070.567,1.014.601,9.532,38.847.963,,,13659615.0,10093648.0,14070567.0,1014601.0,9532.0,38847963.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,277.718,289.714,(1.603.575),(6.078.898),(3.795.318),5.626.020,9.324.309,4.039.970,277718.0,289714.0,-1603575.0,-6078898.0,-3795318.0,5626020.0,9324309.0,4039970.0
