row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụvà dụng cụVND,Chi phítrả trước khácVND,TổngcộngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụvà dụng cụVND,numeric__Chi phítrả trước khácVND,numeric__TổngcộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,202.861.306.362,236.713.689.578,35.948.839.071,475.523.835.011,202861306362.0,236713689578.0,35948839071.0,475523835011.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,102.560.913.794,33.683.473.616,136.244.387.410,,102560913794.0,33683473616.0,136244387410.0
Chuyển từ xây dựng cơbản dở dang,Chuyển từ xây dựng cơbản dở dang,Chuyển từ xây dựng cơbản dở dang,-,27.050.159,1.154.499.637,1.181.549.796,,27050159.0,1154499637.0,1181549796.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(7.362.827.892),(129.013.680.903),(30.281.116.996),(166.657.625.791),-7362827892.0,-129013680903.0,-30281116996.0,-166657625791.0
Giảm khác,Giảm khác,Giảm khác,(4.848.614.046),-,-,(4.848.614.046),-4848614046.0,,,-4848614046.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,190.649.864.424,210.287.972.628,40.505.695.328,441.443.532.380,190649864424.0,210287972628.0,40505695328.0,441443532380.0
