row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.498.249.927.552,13.520.744.758.101,1.056.638.611.505,635.093.006.981,17.710.726.304.139,2498249927552.0,13520744758101.0,1056638611505.0,635093006981.0,17710726304139.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,8.283.617.993,75.950.161.422,8.986.679.966,21.945.175.841,115.165.635.222,8283617993.0,75950161422.0,8986679966.0,21945175841.0,115165635222.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,75.848.122.957,891.934.621.474,3.046.479.284,10.159.488.190,980.988.711.905,75848122957.0,891934621474.0,3046479284.0,10159488190.0,980988711905.0
Thanh lý/xóa số,Nguyên giá > Thanh lý/xóa số,Thanh lý/xóa số,(1.382.658.639),(45.300.762.357),(10.003.646.164),(3.420.135.658),(60.107.202.818),-1382658639.0,-45300762357.0,-10003646164.0,-3420135658.0,-60107202818.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(695.000.000),695.000.000,-,-,,-695000000.0,695000000.0,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.580.999.009.863,14.442.633.778.640,1.059.363.124.591,663.777.535.354,18.746.773.448.448,2580999009863.0,14442633778640.0,1059363124591.0,663777535354.0,18746773448448.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.129.021.082.422,9.449.850.939.295,720.572.118.694,512.492.276.982,11.811.936.417.393,1129021082422.0,9449850939295.0,720572118694.0,512492276982.0,11811936417393.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,92.695.285.866,912.053.008.896,71.458.344.900,40.493.572.955,1.116.700.212.617,92695285866.0,912053008896.0,71458344900.0,40493572955.0,1116700212617.0
Thanh lý/xóa số,Giá trị hao mòn lũy kế > Thanh lý/xóa số,Thanh lý/xóa số,(1.328.756.751),(45.062.930.926),(9.095.998.167),(3.407.867.004),(58.895.552.848),-1328756751.0,-45062930926.0,-9095998167.0,-3407867004.0,-58895552848.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(266.416.652),266.416.652,-,-,,-266416652.0,266416652.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.220.387.611.537,10.316.574.600.613,783.200.882.079,549.577.982.933,12.869.741.077.162,1220387611537.0,10316574600613.0,783200882079.0,549577982933.0,12869741077162.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.369.228.845.130,4.070.893.818.806,336.066.492.811,122.600.729.999,5.898.789.886.746,1369228845130.0,4070893818806.0,336066492811.0,122600729999.0,5898789886746.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.360.611.398.326,4.126.059.178.027,276.162.242.512,114.199.552.421,5.877.032.371.286,1360611398326.0,4126059178027.0,276162242512.0,114199552421.0,5877032371286.0
