row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,20.899.554.450.000,23.225.734.296,4.313.309.083.216,6.764.698.164.167,32.000.787.431.679,20899554450000.0,23225734296.0,4313309083216.0,6764698164167.0,32000787431679.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,8.872.670.664.578,8.872.670.664.578,,,,8872670664578.0,8872670664578.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,887.267.066.458,(887.267.066.458),-,,,887267066458.0,-887267066458.0,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),-,-,-,(887.267.066.458),(887.267.066.458),,,,-887267066458.0,-887267066458.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,(10.972.266.086.250),(10.972.266.086.250),,,,-10972266086250.0,-10972266086250.0
Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,20.899.554.450.000,23.225.734.296,5.200.576.149.674,2.890.568.609.579,29.013.924.943.549,20899554450000.0,23225734296.0,5200576149674.0,2890568609579.0,29013924943549.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,8.710.445.740.223,8.710.445.740.223,,,,8710445740223.0,8710445740223.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,871.044.574.021,(871.044.574.021),-,,,871044574021.0,-871044574021.0,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),-,-,-,(871.044.574.021),(871.044.574.021),,,,-871044574021.0,-871044574021.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,(6.165.368.562.750),(6.165.368.562.750),,,,-6165368562750.0,-6165368562750.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,20.899.554.450.000,23.225.734.296,6.071.620.723.695,3.693.556.639.010,30.687.957.547.001,20899554450000.0,23225734296.0,6071620723695.0,3693556639010.0,30687957547001.0
