row_label_raw,row_label_full,Bên liên quan > Công ty TNHH Một Thành viên Bò Sửa Việt Nam,Mối quan hệ > Công ty con,"Loại giao dịch > Mua hàng hóa và dịch vụ > Lợi nhuận được chia > Thu nhập khác > Bán tài sản cố định > Ký quỹ, ký cược",2023 VND > 2.082.573.805.263 > - > 4.863.132.228 > 285.737.831 > 650.768.580,2022 VND > 1.783.689.348.511 > 100.000.000.000 > - > 45.000.000 > -,numeric__Mối quan hệ > Công ty con,"numeric__Loại giao dịch > Mua hàng hóa và dịch vụ > Lợi nhuận được chia > Thu nhập khác > Bán tài sản cố định > Ký quỹ, ký cược",numeric__2023 VND > 2.082.573.805.263 > - > 4.863.132.228 > 285.737.831 > 650.768.580,numeric__2022 VND > 1.783.689.348.511 > 100.000.000.000 > - > 45.000.000 > -
Công ty TNHH Một Thành Viên Bò Sửa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành Viên Bò Sửa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành Viên Bò Sửa Thống Nhất Thanh Hóa,Công ty con,Mua hàng hóa,442.028.426.300,380.182.473.300,,,442028426300.0,380182473300.0
Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty con,Mua hàng hóa,20.234.758.400,24.956.900.000,,,20234758400.0,24956900000.0
Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty con,Lợi nhuận được chia,3.909.951.000,-,,,3909951000.0,
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Bán tài sản cố định,668.570.175,88.658.100.000,,,668570175.0,88658100000.0
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Góp vốn,59.606.132,-,,,59606132.0,
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Mua hàng hóa,-,58.478.498.433,,,,58478498433.0
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Lợi nhuận được chia,100.884.053.070,113.089.647.840,,,100884053070.0,113089647840.0
"Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.",Công ty con,Mua hàng hóa,82.748.372.950,-,,,82748372950.0,
"Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.",Công ty con,Góp vốn,-,188.901.873.540,,,,188901873540.0
"Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.",Công ty con,Bán tài sản cố định,-,1.406.072.894,,,,1406072894.0
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Mua hàng hóa,425.263.034.815,406.248.107.220,,,425263034815.0,406248107220.0
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Cổ tức được chia,19.475.580.000,24.344.475.000,,,19475580000.0,24344475000.0
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Cho thuê tài sản cố định,-,230.000.000,,,,230000000.0
