row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,Giá trị giao dịch > 2020 VND,Giá trị giao dịch > 2019 VND,numeric__Tính chất giao dịch,numeric__Giá trị giao dịch > 2020 VND,numeric__Giá trị giao dịch > 2019 VND
Công ty TNHHVonfram Masan,Công ty TNHHVonfram Masan,Công ty TNHHVonfram Masan,Khoản cho vay đã cấp,1.781.000.000.000,-,,1781000000000.0,
Công ty TNHHVonfram Masan,Công ty TNHHVonfram Masan,Công ty TNHHVonfram Masan,Khoản cho vay đã thu hồi,1.781.000.000.000,-,,1781000000000.0,
Công ty TNHHVonfram Masan,Công ty TNHHVonfram Masan,Công ty TNHHVonfram Masan,Thu nhập lãi cho vay,11.526.953.425,-,,11526953425.0,
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Thu nhập lãi trái phiếu,-,43.030.134.385,,,43030134385.0
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Khoản vay đã nhận,1.923.753.424.658,1.000.000.000.000,,1923753424658.0,1000000000000.0
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Khoản vay đã hoàn trả,1.780.273.972.603,-,,1780273972603.0,
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Chi phí lãi vay,45.822.250.325,224.657.534,,45822250325.0,224657534.0
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Khoản cho vay đã cấp,400.000.000.000,-,,400000000000.0,
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Khoản cho vay đã thu hồi,400.000.000.000,-,,400000000000.0,
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Thu nhập lãi cho vay,2.246.575.342,-,,2246575342.0,
Công ty Cổ phần Dịch vụThương mại Tổng hợpVincommerce,Công ty Cổ phần Dịch vụThương mại Tổng hợpVincommerce,Công ty Cổ phần Dịch vụThương mại Tổng hợpVincommerce,Khoản cho vay đã nhận,3.700.000.000.000,-,,3700000000000.0,
Công ty Cổ phần Dịch vụThương mại Tổng hợpVincommerce,Công ty Cổ phần Dịch vụThương mại Tổng hợpVincommerce,Công ty Cổ phần Dịch vụThương mại Tổng hợpVincommerce,Khoản cho vay đã hoàn trả,3.200.000.000.000,-,,3200000000000.0,
Công ty Cổ phần Dịch vụThương mại Tổng hợpVincommerce,Công ty Cổ phần Dịch vụThương mại Tổng hợpVincommerce,Công ty Cổ phần Dịch vụThương mại Tổng hợpVincommerce,Chi phí lãi vay từ,163.199.726.028,-,,163199726028.0,
Công ty TNHHMNS Meat Hà Nam,Công ty TNHHMNS Meat Hà Nam,Công ty TNHHMNS Meat Hà Nam,Khoản cho vay đã cấp,1.000.000.000.000,-,,1000000000000.0,
Công ty TNHHMNS Meat Hà Nam,Công ty TNHHMNS Meat Hà Nam,Công ty TNHHMNS Meat Hà Nam,Khoản cho vay đã thu hồi,1.000.000.000.000,-,,1000000000000.0,
Công ty TNHHMNS Meat Hà Nam,Công ty TNHHMNS Meat Hà Nam,Công ty TNHHMNS Meat Hà Nam,Thu nhập lãi cho vay,1.478.794.521,-,,1478794521.0,
Công ty Cổ phần The CrownX,Công ty Cổ phần The CrownX,Công ty Cổ phần The CrownX,Thanh lý đầu tư vốn,516.600.000.000,-,,516600000000.0,
Các bên liên quan khácTechcombank và các công ty con (*),Các bên liên quan khácTechcombank và các công ty con (*),Các bên liên quan khácTechcombank và các công ty con (*),Trái phiếu phát hành (đại lý phát hành),16.600.000.000.000,1.500.000.000.000,,16600000000000.0,1500000000000.0
Các bên liên quan khácTechcombank và các công ty con (*),Các bên liên quan khácTechcombank và các công ty con (*),Các bên liên quan khácTechcombank và các công ty con (*),Trái phiếu mua lại (đại lý thanh toán),-,3.000.000.000.000,,,3000000000000.0
Các bên liên quan khácTechcombank và các công ty con (*),Các bên liên quan khácTechcombank và các công ty con (*),Các bên liên quan khácTechcombank và các công ty con (*),Phí phát hành trái phiếu,516.536.000.000,-,,516536000000.0,
Các bên liên quan khácTechcombank và các công ty con (*),Các bên liên quan khácTechcombank và các công ty con (*),Các bên liên quan khácTechcombank và các công ty con (*),Mua chứng khoán kinh doanh,-,2.004.710.500.000,,,2004710500000.0
Các bên liên quan khácTechcombank và các công ty con (*),Các bên liên quan khácTechcombank và các công ty con (*),Các bên liên quan khácTechcombank và các công ty con (*),Bán chứng khoán kinh doanh,1.250.000.000.000,754.710.500.000,,1250000000000.0,754710500000.0
Thành viên quản lý chủ chốt,Thành viên quản lý chủ chốt,Thành viên quản lý chủ chốt,Thù lao cho thành viên quản lý chủ chốt (**),22.943.793.777,15.160.674.736,,22943793777.0,15160674736.0
