row_label_raw,row_label_full,col_0,Chi phí di vaytrả trướcVND,Chi phí khácVND,TổngVND,numeric__Chi phí di vaytrả trướcVND,numeric__Chi phí khácVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,465.981.062,465.981.062,,465981062.0,465981062.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,176.045.672.825,501.446.930,176.547.119.755,176045672825.0,501446930.0,176547119755.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(4.817.983.063),(508.346.337),(5.326.329.400),-4817983063.0,-508346337.0,-5326329400.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,171.227.689.762,459.081.655,171.686.771.417,171227689762.0,459081655.0,171686771417.0
