row_label_raw,row_label_full,col_0,Vốncổ phầnVND,Thặng dưvốn cổ phầnVND,Vốn khác củachủ sở hữuVND,Lợi nhuận sau thuếchưa phân phốiVND,TổngVND,numeric__Vốncổ phầnVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Vốn khác củachủ sở hữuVND,numeric__Lợi nhuận sau thuếchưa phân phốiVND,numeric__TổngVND
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,11.631.495.480.000,11.084.416.541.079,(1.695.338.182.568),3.220.188.542.728,24.240.762.381.239,11631495480000.0,11084416541079.0,-1695338182568.0,3220188542728.0,24240762381239.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,57.968.990.000,(60.000.000),-,-,57.908.990.000,57968990000.0,-60000000.0,,,57908990000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.350.023.708.882,1.350.023.708.882,,,,1350023708882.0,1350023708882.0
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,11.689.464.470.000,11.084.356.541.079,(1.695.338.182.568),4.570.212.251.610,25.648.695.080.121,11689464470000.0,11084356541079.0,-1695338182568.0,4570212251610.0,25648695080121.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,57.367.990.000,(60.000.000),-,-,57.307.990.000,57367990000.0,-60000000.0,,,57307990000.0
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,(1.322.785.316.592),(1.322.785.316.592),,,,-1322785316592.0,-1322785316592.0
Cổ tức (Thuyết minh 16),Cổ tức (Thuyết minh 16),Cổ tức (Thuyết minh 16),-,-,-,(1.174.683.246.000),(1.174.683.246.000),,,,-1174683246000.0,-1174683246000.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,11.746.832.460.000,11.084.296.541.079,(1.695.338.182.568),2.072.743.689.018,23.208.534.507.529,11746832460000.0,11084296541079.0,-1695338182568.0,2072743689018.0,23208534507529.0
