row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Tính chất giao dịch,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
Bên liên quan,Bên liên quan,Bên liên quan,Tính chất giao dịch,2020VND,2019VND,,,
Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,,,
Công ty TNHH Tâm nhìnMasan,Công ty con sở hữu trực tiếp > Công ty TNHH Tâm nhìnMasan,Công ty TNHH Tâm nhìnMasan,Góp vốn,5.000.000.000.000,1.787.200.000.000,,5000000000000.0,1787200000000.0
Công ty TNHH Tâm nhìnMasan,Công ty con sở hữu trực tiếp > Công ty TNHH Tâm nhìnMasan,Công ty TNHH Tâm nhìnMasan,Khoản cho vay đã cấp,300.002.250.000,150.656.000.000,,300002250000.0,150656000000.0
Công ty TNHH Tâm nhìnMasan,Công ty con sở hữu trực tiếp > Công ty TNHH Tâm nhìnMasan,Công ty TNHH Tâm nhìnMasan,Khoản cho vay đã thu hồi,450.658.250.000,-,,450658250000.0,
Công ty TNHH Tâm nhìnMasan,Công ty con sở hữu trực tiếp > Công ty TNHH Tâm nhìnMasan,Công ty TNHH Tâm nhìnMasan,Thu nhập lãi cho vay,5.430.690.297,429.266.411,,5430690297.0,429266411.0
Công ty TNHH Tâm nhìnMasan,Công ty con sở hữu trực tiếp > Công ty TNHH Tâm nhìnMasan,Công ty TNHH Tâm nhìnMasan,Khoản vay đã nhận,3.402.233.116.472,-,,3402233116472.0,
Công ty TNHH Tâm nhìnMasan,Công ty con sở hữu trực tiếp > Công ty TNHH Tâm nhìnMasan,Công ty TNHH Tâm nhìnMasan,Khoản vay đã hoàn trả,268.000.000.000,-,,268000000000.0,
Công ty TNHH Tâm nhìnMasan,Công ty con sở hữu trực tiếp > Công ty TNHH Tâm nhìnMasan,Công ty TNHH Tâm nhìnMasan,Chi phí lãi vay,116.647.503.186,-,,116647503186.0,
Công ty TNHH The SHERPA,Công ty con sở hữu trực tiếp > Công ty TNHH The SHERPA,Công ty TNHH The SHERPA,Góp vốn,5.044.379.000.000,-,,5044379000000.0,
Công ty TNHH The SHERPA,Công ty con sở hữu trực tiếp > Công ty TNHH The SHERPA,Công ty TNHH The SHERPA,Khoản cho vay đã cấp,3.685.000.000.000,-,,3685000000000.0,
Công ty TNHH The SHERPA,Công ty con sở hữu trực tiếp > Công ty TNHH The SHERPA,Công ty TNHH The SHERPA,Khoản cho vay đã thu hồi,3.000.000.000.000,-,,3000000000000.0,
Công ty TNHH The SHERPA,Công ty con sở hữu trực tiếp > Công ty TNHH The SHERPA,Công ty TNHH The SHERPA,Thu nhập lãi cho vay,4.513.493.150,-,,4513493150.0,
Công ty TNHH The SHERPA,Công ty con sở hữu trực tiếp > Công ty TNHH The SHERPA,Công ty TNHH The SHERPA,Thanh lý đầu tư vốn,12.841.200.000.000,-,,12841200000000.0,
Công ty Cổ phầnMasan MEATLife,Công ty con sở hữu trực tiếp > Công ty Cổ phầnMasan MEATLife,Công ty Cổ phầnMasan MEATLife,Khoản vay đã nhận,150.000.000.000,-,,150000000000.0,
Công ty Cổ phầnMasan MEATLife,Công ty con sở hữu trực tiếp > Công ty Cổ phầnMasan MEATLife,Công ty Cổ phầnMasan MEATLife,Chi phí lãi vay,2.323.972.603,-,,2323972603.0,
Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,,,
Công ty TNHHMasanConsumerHoldings,Công ty con sở hữu gián tiếp > Công ty TNHHMasanConsumerHoldings,Công ty TNHHMasanConsumerHoldings,Thu nhập cổ tức,-,1.320.000.000.000,,,1320000000000.0
Công ty TNHHMasanConsumerHoldings,Công ty con sở hữu gián tiếp > Công ty TNHHMasanConsumerHoldings,Công ty TNHHMasanConsumerHoldings,Khoản cho vay đã cấp,3.000.000.000.000,-,,3000000000000.0,
Công ty TNHHMasanConsumerHoldings,Công ty con sở hữu gián tiếp > Công ty TNHHMasanConsumerHoldings,Công ty TNHHMasanConsumerHoldings,Khoản cho vay đã thu hồi,3.000.000.000.000,2.800.000.000.000,,3000000000000.0,2800000000000.0
Công ty TNHHMasanConsumerHoldings,Công ty con sở hữu gián tiếp > Công ty TNHHMasanConsumerHoldings,Công ty TNHHMasanConsumerHoldings,Thu nhập lãi cho vay,534.246.575,131.688.219.179,,534246575.0,131688219179.0
