row_label_raw,row_label_full,col_0,Nâng cấptài sản thuêVND,Thiết bịvăn phòngVND,Phương tiệnvận chuyểnVND,TổngVND,numeric__Nâng cấptài sản thuêVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận chuyểnVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,27.879.006.869,9.282.883.440,-,37.161.890.309,27879006869.0,9282883440.0,,37161890309.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.657.827.333,199.812.000,1.622.028.000,7.479.667.333,5657827333.0,199812000.0,1622028000.0,7479667333.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,33.536.834.202,9.482.695.440,1.622.028.000,44.641.557.642,33536834202.0,9482695440.0,1622028000.0,44641557642.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,21.099.981.349,6.533.511.665,-,27.633.493.014,21099981349.0,6533511665.0,,27633493014.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.830.782.744,759.750.308,247.809.833,3.838.342.885,2830782744.0,759750308.0,247809833.0,3838342885.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,23.930.764.093,7.293.261.973,247.809.833,31.471.835.899,23930764093.0,7293261973.0,247809833.0,31471835899.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,6.779.025.520,2.749.371.775,-,9.528.397.295,6779025520.0,2749371775.0,,9528397295.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,9.606.070.109,2.189.433.467,1.374.218.167,13.169.721.743,9606070109.0,2189433467.0,1374218167.0,13169721743.0
