row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bịdụng cụ quản lýTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bịdụng cụ quản lýTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,510.478,508.450,187.404,27.206,9.741,1.243.279,510478.0,508450.0,187404.0,27206.0,9741.0,1243279.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,4.255,25.875,1.214,2.619,1.334,35.297,4255.0,25875.0,1214.0,2619.0,1334.0,35297.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(325),(1.522),(1.553),(329),(460),(4.189),-325.0,-1522.0,-1553.0,-329.0,-460.0,-4189.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,514.408,532.803,187.065,29.496,10.615,1.274.387,514408.0,532803.0,187065.0,29496.0,10615.0,1274387.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Số đầu năm,Giá trị khấu hao luỹ kế > Số đầu năm,Số đầu năm,119.501,379.563,134.666,20.393,5.820,659.943,119501.0,379563.0,134666.0,20393.0,5820.0,659943.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,10.801,32.118,9.215,3.650,1.291,57.075,10801.0,32118.0,9215.0,3650.0,1291.0,57075.0
"Thanh lý, nhượng bán","Giá trị khấu hao luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(303),(1.522),(1.553),(329),(453),(4.160),-303.0,-1522.0,-1553.0,-329.0,-453.0,-4160.0
Số cuối năm,Giá trị khấu hao luỹ kế > Số cuối năm,Số cuối năm,129.999,410.159,142.328,23.714,6.658,712.858,129999.0,410159.0,142328.0,23714.0,6658.0,712858.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,390.977,128.887,52.738,6.813,3.921,583.336,390977.0,128887.0,52738.0,6813.0,3921.0,583336.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,384.409,122.644,44.737,5.782,3.957,561.529,384409.0,122644.0,44737.0,5782.0,3957.0,561529.0
