row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2023,Tài sản tại ngày 31 tháng 12 năm 2023,Tài sản tại ngày 31 tháng 12 năm 2023,Tài sản tại ngày 31 tháng 12 năm 2023,Tài sản tại ngày 31 tháng 12 năm 2023,Tài sản tại ngày 31 tháng 12 năm 2023,,,
Tiền gửi tại các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2023 > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,36.033.583,383.157,36.416.740,36033583.0,383157.0,36416740.0
Chứng khoán kinh doanh - gộp,Tài sản tại ngày 31 tháng 12 năm 2023 > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,871.942,-,871.942,871942.0,,871942.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2023 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,98.107.080,109,98.107.189,98107080.0,109.0,98107189.0
Hoạt động mua nợ - gộp,Tài sản tại ngày 31 tháng 12 năm 2023 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,965.000,-,965.000,965000.0,,965000.0
Chứng khoán đầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2023 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,18.652.737,-,18.652.737,18652737.0,,18652737.0
"Gớp vốn, đầu tư dài hạn","Tài sản tại ngày 31 tháng 12 năm 2023 > Gớp vốn, đầu tư dài hạn","Gớp vốn, đầu tư dài hạn",58.791,-,58.791,58791.0,,58791.0
Công nợ tại ngày 31 tháng 12 năm 2023,Công nợ tại ngày 31 tháng 12 năm 2023,Công nợ tại ngày 31 tháng 12 năm 2023,Công nợ tại ngày 31 tháng 12 năm 2023,Công nợ tại ngày 31 tháng 12 năm 2023,Công nợ tại ngày 31 tháng 12 năm 2023,,,
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Công nợ tại ngày 31 tháng 12 năm 2023 > Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),110.797.068,-,110.797.068,110797068.0,,110797068.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2023 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,99.721.033,313.258,100.034.291,99721033.0,313258.0,100034291.0
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2023 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,29.036.369,5.118,29.041.487,29036369.0,5118.0,29041487.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2023 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,15.600.000,-,15.600.000,15600000.0,,15600000.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Công nợ tại ngày 31 tháng 12 năm 2023 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",26.613,-,26.613,26613.0,,26613.0
Các cam kết ngoại bảng tạingày 31 tháng 12 năm 2023,Các cam kết ngoại bảng tạingày 31 tháng 12 năm 2023,Các cam kết ngoại bảng tạingày 31 tháng 12 năm 2023,Các cam kết ngoại bảng tạingày 31 tháng 12 năm 2023,Các cam kết ngoại bảng tạingày 31 tháng 12 năm 2023,Các cam kết ngoại bảng tạingày 31 tháng 12 năm 2023,,,
Cam kết trong nghiệp vụ thư tín dụng,Các cam kết ngoại bảng tạingày 31 tháng 12 năm 2023 > Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,742.959,-,742.959,742959.0,,742959.0
Cam kết cho vay không hủy ngang,Các cam kết ngoại bảng tạingày 31 tháng 12 năm 2023 > Cam kết cho vay không hủy ngang,Cam kết cho vay không hủy ngang,21.737,-,21.737,21737.0,,21737.0
Bảo lãnh khác,Các cam kết ngoại bảng tạingày 31 tháng 12 năm 2023 > Bảo lãnh khác,Bảo lãnh khác,5.584.954,-,5.584.954,5584954.0,,5584954.0
