row_label_raw,row_label_full,col_0,col_1,Ngày 31 tháng 12năm 2023Đồng,Ngày 31 tháng 12năm 2022Đồng,numeric__col_1,numeric__Ngày 31 tháng 12năm 2023Đồng,numeric__Ngày 31 tháng 12năm 2022Đồng
USD,USD,USD,,24.250,23.550,,24250.0,23550.0
EUR,EUR,EUR,,26.895,25.228,,26895.0,25228.0
GBP,GBP,GBP,,30.885,28.470,,30885.0,28470.0
JPY,JPY,JPY,,171,174,,171.0,174.0
AUD,AUD,AUD,,16.578,15.968,,16578.0,15968.0
CAD,CAD,CAD,,18.341,17.425,,18341.0,17425.0
NZD,NZD,NZD,,15.390,14.681,,15390.0,14681.0
SGD,SGD,SGD,,18.392,17.287,,18392.0,17287.0
CHF,CHF,CHF,,28.797,24.407,,28797.0,24407.0
HKD,HKD,HKD,,3.106,2.894,,3106.0,2894.0
Người lập,Người lập,Người lập,Người kiểm soát,Người phe duyệt,Người phe duyệt,,,
Ông Nguyễn Công AnhTrường phòngKế toán tổng hợp,Ông Nguyễn Công AnhTrường phòngKế toán tổng hợp,Ông Nguyễn Công AnhTrường phòngKế toán tổng hợp,Ông Bùi Quốc ViệtKế toán Trường,Ông Phạm Duy HiếuQuyền Tổng Giám đốc,Ông Phạm Duy HiếuQuyền Tổng Giám đốc,,,
