row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Thương hiệu VND,Mối quan hệ khách hàng VND,Công nghệ VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Thương hiệu VND,numeric__Mối quan hệ khách hàng VND,numeric__Công nghệ VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,219.899.009.016,61.847.220.755,1.814.782.021.840,2.535.977.276.845,566.000.000.000,5.198.505.528.456,219899009016.0,61847220755.0,1814782021840.0,2535977276845.0,566000000000.0,5198505528456.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,335.557.700,-,-,-,335.557.700,,335557700.0,,,,335557700.0
Giảm do ngừng hợp nhất MNS Feed và các công ty con,Nguyên giá > Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giảm do ngừng hợp nhất MNS Feed và các công ty con,(207.411.509.016),(58.063.254.416),(1.615.000.000.000),(2.413.100.000.000),(566.000.000.000),(4.859.574.763.432),-207411509016.0,-58063254416.0,-1615000000000.0,-2413100000000.0,-566000000000.0,-4859574763432.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,12.487.500.000,4.119.524.039,199.782.021.840,122.877.276.845,-,339.266.322.724,12487500000.0,4119524039.0,199782021840.0,122877276845.0,,339266322724.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,34.330.989.548,31.400.105.269,483.374.833.549,728.231.235.813,566.000.000.000,1.843.337.164.179,34330989548.0,31400105269.0,483374833549.0,728231235813.0,566000000000.0,1843337164179.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,5.550.061.534,8.512.199.481,96.218.835.764,118.280.246.474,-,228.561.343.253,5550061534.0,8512199481.0,96218835764.0,118280246474.0,,228561343253.0
Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giá trị hao mòn lũy kế > Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giảm do ngừng hợp nhất MNS Feed và các công ty con,(39.881.051.082),(37.489.591.766),(555.545.833.350),(838.191.666.667),(566.000.000.000),(2.037.108.142.865),-39881051082.0,-37489591766.0,-555545833350.0,-838191666667.0,-566000000000.0,-2037108142865.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,2.422.712.984,24.047.835.963,8.319.815.620,-,34.790.364.567,,2422712984.0,24047835963.0,8319815620.0,,34790364567.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,185.568.019.468,30.447.115.486,1.331.407.188.291,1.807.746.041.032,-,3.355.168.364.277,185568019468.0,30447115486.0,1331407188291.0,1807746041032.0,,3355168364277.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,12.487.500.000,1.696.811.055,175.734.185.877,114.557.461.225,-,304.475.958.157,12487500000.0,1696811055.0,175734185877.0,114557461225.0,,304475958157.0
