row_label_raw,row_label_full,Các công ty liên kết (đến ngày 1 tháng 12 năm 2021),31/12/2021VND > Các công ty liên kết (đến ngày 1 tháng 12 năm 2021),1/1/2021VND > Các công ty liên kết (đến ngày 1 tháng 12 năm 2021),numeric__31/12/2021VND > Các công ty liên kết (đến ngày 1 tháng 12 năm 2021),numeric__1/1/2021VND > Các công ty liên kết (đến ngày 1 tháng 12 năm 2021)
Công ty Cổ phần Bao bì Thuận Phát,Công ty Cổ phần Bao bì Thuận Phát,Công ty Cổ phần Bao bì Thuận Phát,-,4.144.420.506,,4144420506.0
Công ty Cổ phần Chế biến Súc sản Long Bình,Công ty Cổ phần Chế biến Súc sản Long Bình,Công ty Cổ phần Chế biến Súc sản Long Bình,-,566.385.400,,566385400.0
Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,,
Công ty Cổ phần Hàng tiêu dùng Masan,Các công ty liên quan khác > Công ty Cổ phần Hàng tiêu dùng Masan,Công ty Cổ phần Hàng tiêu dùng Masan,14.339.825.659,22.923.950.274,14339825659.0,22923950274.0
Công ty TNHH Một Thành Viên Công nghiệp Masan,Các công ty liên quan khác > Công ty TNHH Một Thành Viên Công nghiệp Masan,Công ty TNHH Một Thành Viên Công nghiệp Masan,1.528.989.422,-,1528989422.0,
Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce,Các công ty liên quan khác > Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce,70.571.020,96.591.591,70571020.0,96591591.0
