row_label_raw,row_label_full,col_0,Trợ cấpthôi việcVND,Khôi phụchiện trườngVND,TổngVND,numeric__Trợ cấpthôi việcVND,numeric__Khôi phụchiện trườngVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,27.951.319.000,6.199.404.404,34.150.723.404,27951319000.0,6199404404.0,34150723404.0
Trích lập dự phòng trong năm,Trích lập dự phòng trong năm,Trích lập dự phòng trong năm,572.353.615,-,572.353.615,572353615.0,,572353615.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,(945.971.281),-,(945.971.281),-945971281.0,,-945971281.0
Giảm do ngừng hợp nhất MNS Feedvà các công ty con,Giảm do ngừng hợp nhất MNS Feedvà các công ty con,Giảm do ngừng hợp nhất MNS Feedvà các công ty con,(27.419.839.834),-,(27.419.839.834),-27419839834.0,,-27419839834.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,157.861.500,6.199.404.404,6.357.265.904,157861500.0,6199404404.0,6357265904.0
