row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,3.243.274.470.000,2.119.105.015.149,(175.543.000.000),140.019.641.401,2.196.339.816.285,7.523.195.942.835,3243274470000.0,2119105015149.0,-175543000000.0,140019641401.0,2196339816285.0,7523195942835.0
Phát hành cổ phiếu theo kế hoạch về quyền chọn mua cổ phiếu của nhân viên (“ESOP”) (Thuyết minh 29),Phát hành cổ phiếu theo kế hoạch về quyền chọn mua cổ phiếu của nhân viên (“ESOP”) (Thuyết minh 29),Phát hành cổ phiếu theo kế hoạch về quyền chọn mua cổ phiếu của nhân viên (“ESOP”) (Thuyết minh 29),23.874.000.000,(50.000.000),-,-,-,23.824.000.000,23874000000.0,-50000000.0,,,,23824000000.0
Vốn góp vào công ty con của cổ đông không kiểm soát,Vốn góp vào công ty con của cổ đông không kiểm soát,Vốn góp vào công ty con của cổ đông không kiểm soát,-,-,-,-,10.000.000,10.000.000,,,,,10000000.0,10000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,263.341.336.611,228.860.945.453,492.202.282.064,,,,263341336611.0,228860945453.0,492202282064.0
Cổ tức do các công ty con công bố,Cổ tức do các công ty con công bố,Cổ tức do các công ty con công bố,-,-,-,-,(27.530.627.600),(27.530.627.600),,,,,-27530627600.0,-27530627600.0
Hợp nhất kinh doanh,Hợp nhất kinh doanh,Hợp nhất kinh doanh,-,-,-,-,451.512.553.661,451.512.553.661,,,,,451512553661.0,451512553661.0
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,3.267.148.470.000,2.119.055.015.149,(175.543.000.000),403.360.978.012,2.849.192.687.799,8.463.214.150.960,3267148470000.0,2119055015149.0,-175543000000.0,403360978012.0,2849192687799.0,8463214150960.0
Phát hành cổ phiếu theo ESOP (Thuyết minh 29),Phát hành cổ phiếu theo ESOP (Thuyết minh 29),Phát hành cổ phiếu theo ESOP (Thuyết minh 29),2.736.000.000,(50.000.000),-,-,-,2.686.000.000,2736000000.0,-50000000.0,,,,2686000000.0
Cổ tức (Thuyết minh 28),Cổ tức (Thuyết minh 28),Cổ tức (Thuyết minh 28),-,-,-,(1.602.243.390.300),-,(1.602.243.390.300),,,,-1602243390300.0,,-1602243390300.0
Lợi nhuận/(lỗ) thuần trong năm,Lợi nhuận/(lỗ) thuần trong năm,Lợi nhuận/(lỗ) thuần trong năm,-,-,-,1.330.761.015.768,(77.108.657.171),1.253.652.358.597,,,,1330761015768.0,-77108657171.0,1253652358597.0
Cổ tức do các công ty con công bố,Cổ tức do các công ty con công bố,Cổ tức do các công ty con công bố,-,-,-,-,(1.556.267.048.760),(1.556.267.048.760),,,,,-1556267048760.0,-1556267048760.0
Giảm do ngừng hợp nhất MNS Feed và các công ty con (Thuyết minh 5),Giảm do ngừng hợp nhất MNS Feed và các công ty con (Thuyết minh 5),Giảm do ngừng hợp nhất MNS Feed và các công ty con (Thuyết minh 5),-,-,175.543.000.000,-,(985.425.738.477),(809.882.738.477),,,175543000000.0,,-985425738477.0,-809882738477.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,3.269.884.470.000,2.119.005.015.149,-,131.878.603.480,230.391.243.391,5.751.159.332.020,3269884470000.0,2119005015149.0,,131878603480.0,230391243391.0,5751159332020.0
