row_label_raw,row_label_full,col_0,1/1/2021 > Giá trị ghi số/Số có khả năngtrả nợVND,1/1/2021 > TăngVND,Biến động trong năm > Hoàn trảVND,Biến động trong năm > Giảm do ngừnghợp nhất MNSFeed và các côngty conVND,31/12/2021 > Giá trị ghi số/Số có khả năngtrả nợVND,31/12/2021,numeric__1/1/2021 > Giá trị ghi số/Số có khả năngtrả nợVND,numeric__1/1/2021 > TăngVND,numeric__Biến động trong năm > Hoàn trảVND,numeric__Biến động trong năm > Giảm do ngừnghợp nhất MNSFeed và các côngty conVND,numeric__31/12/2021 > Giá trị ghi số/Số có khả năngtrả nợVND,numeric__31/12/2021
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,2.762.890.840.186,11.142.886.816.331,(11.594.817.508.133),(1.225.136.654.332),1.085.823.494.052,,2762890840186.0,11142886816331.0,-11594817508133.0,-1225136654332.0,1085823494052.0,
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,497.581.005.758,605.152.715.696,(506.218.969.130),-,596.514.752.324,,497581005758.0,605152715696.0,-506218969130.0,,596514752324.0,
Trái phiếu đáo hạn trong vòng 12 tháng,Trái phiếu đáo hạn trong vòng 12 tháng,Trái phiếu đáo hạn trong vòng 12 tháng,1.986.509.803.914,13.490.196.086,(2.000.000.000.000),-,-,,1986509803914.0,13490196086.0,-2000000000000.0,,,
Nợ gốc thuê tài chính đến hạn trả trong vòng12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng12 tháng,5.712.550.866,12.034.211.617,(5.712.550.866),-,12.034.211.617,,5712550866.0,12034211617.0,-5712550866.0,,12034211617.0,
,,,5.252.694.200.724,11.773.563.939.730,(14.106.749.028.129),(1.225.136.654.332),1.694.372.457.993,,5252694200724.0,11773563939730.0,-14106749028129.0,-1225136654332.0,1694372457993.0,
Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,,,,,,
,,,,Loạitiền tệ,Lãi suấtnăm,31/12/2021VND,1/1/2021VND,,,,,,,
Các khoản vay ngân hàng được đảm bảo,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Các khoản vay ngân hàng được đảm bảo,Các khoản vay ngân hàng được đảm bảo,,VND,"4,0% - 5,2%",47.976.155.500,49.776.484.675,,,,,47976155500.0,49776484675.0,
Các khoản vay ngân hàng không đảm bảo,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Các khoản vay ngân hàng không đảm bảo,Các khoản vay ngân hàng không đảm bảo,,VND,"2,9% - 5,52%",1.037.847.338.552,2.313.114.355.511,,,,,1037847338552.0,2313114355511.0,
Khoản vay không đảm bảo từ Công ty Cổ phần Tầm nhìn Masan – một công ty liên quan,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay không đảm bảo từ Công ty Cổ phần Tầm nhìn Masan – một công ty liên quan,Khoản vay không đảm bảo từ Công ty Cổ phần Tầm nhìn Masan – một công ty liên quan,,VND,"6,5%",-,400.000.000.000,,,,0.065,,400000000000.0,
,,,,,,1.085.823.494.052,2.762.890.840.186,,,,,1085823494052.0,2762890840186.0,
