row_label_raw,row_label_full,col_0,col_1,col_2,col_3,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,numeric__col_1,numeric__col_2,numeric__col_3,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3
Cấu trúc Tập đoàn,Cấu trúc Tập đoàn,Cấu trúc Tập đoàn,Cấu trúc Tập đoàn,Cấu trúc Tập đoàn,Cấu trúc Tập đoàn,Cấu trúc Tập đoàn,Cấu trúc Tập đoàn,Cấu trúc Tập đoàn,Cấu trúc Tập đoàn,,,,,,,
"Tại ngày 31 tháng 12 năm 2021, Tập đoàn có 2 công ty con sở hữu trực tiếp, 6 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2021: 3 công ty con sở hữu trực tiếp, 17 công ty con sở hữu gián tiếp và 3 công ty liên kết sở hữu gián tiếp). Thông tin về các công ty con và các công ty liên kết như sau:","Tại ngày 31 tháng 12 năm 2021, Tập đoàn có 2 công ty con sở hữu trực tiếp, 6 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2021: 3 công ty con sở hữu trực tiếp, 17 công ty con sở hữu gián tiếp và 3 công ty liên kết sở hữu gián tiếp). Thông tin về các công ty con và các công ty liên kết như sau:","Tại ngày 31 tháng 12 năm 2021, Tập đoàn có 2 công ty con sở hữu trực tiếp, 6 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2021: 3 công ty con sở hữu trực tiếp, 17 công ty con sở hữu gián tiếp và 3 công ty liên kết sở hữu gián tiếp). Thông tin về các công ty con và các công ty liên kết như sau:","Tại ngày 31 tháng 12 năm 2021, Tập đoàn có 2 công ty con sở hữu trực tiếp, 6 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2021: 3 công ty con sở hữu trực tiếp, 17 công ty con sở hữu gián tiếp và 3 công ty liên kết sở hữu gián tiếp). Thông tin về các công ty con và các công ty liên kết như sau:","Tại ngày 31 tháng 12 năm 2021, Tập đoàn có 2 công ty con sở hữu trực tiếp, 6 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2021: 3 công ty con sở hữu trực tiếp, 17 công ty con sở hữu gián tiếp và 3 công ty liên kết sở hữu gián tiếp). Thông tin về các công ty con và các công ty liên kết như sau:","Tại ngày 31 tháng 12 năm 2021, Tập đoàn có 2 công ty con sở hữu trực tiếp, 6 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2021: 3 công ty con sở hữu trực tiếp, 17 công ty con sở hữu gián tiếp và 3 công ty liên kết sở hữu gián tiếp). Thông tin về các công ty con và các công ty liên kết như sau:","Tại ngày 31 tháng 12 năm 2021, Tập đoàn có 2 công ty con sở hữu trực tiếp, 6 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2021: 3 công ty con sở hữu trực tiếp, 17 công ty con sở hữu gián tiếp và 3 công ty liên kết sở hữu gián tiếp). Thông tin về các công ty con và các công ty liên kết như sau:","Tại ngày 31 tháng 12 năm 2021, Tập đoàn có 2 công ty con sở hữu trực tiếp, 6 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2021: 3 công ty con sở hữu trực tiếp, 17 công ty con sở hữu gián tiếp và 3 công ty liên kết sở hữu gián tiếp). Thông tin về các công ty con và các công ty liên kết như sau:","Tại ngày 31 tháng 12 năm 2021, Tập đoàn có 2 công ty con sở hữu trực tiếp, 6 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2021: 3 công ty con sở hữu trực tiếp, 17 công ty con sở hữu gián tiếp và 3 công ty liên kết sở hữu gián tiếp). Thông tin về các công ty con và các công ty liên kết như sau:","Tại ngày 31 tháng 12 năm 2021, Tập đoàn có 2 công ty con sở hữu trực tiếp, 6 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2021: 3 công ty con sở hữu trực tiếp, 17 công ty con sở hữu gián tiếp và 3 công ty liên kết sở hữu gián tiếp). Thông tin về các công ty con và các công ty liên kết như sau:",,,,,,,
STT,STT,STT,Tên công ty,Hoạt động chính,Trụ sở,Tỷ lệ lợi ích kinh tế31/12/2021,1/1/2021,Tỷ lệ quyền biểu quyết31/12/2021,1/1/2021,,,,,,,
Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,,,,,,,
1,Các công ty con sở hữu trực tiếp > 1,1,Công ty Cổ phần MNS Feed(“MNS Feed”) (*),Tư vấn quản lý đầu tư,"Khu Công nghiệp Sông Mây, Xã Bắc Sơn,Huyện Tràng Bom, Tỉnh Đồng Nai,Việt Nam",-,"99,99%",-,"99,99%",,,,,0.9998999999999999,,0.9998999999999999
2,Các công ty con sở hữu trực tiếp > 2,2,Công ty TNHH MNS Meat(“MNS Meat”),Tư vấn quản lý đầu tư,"Khu Công nghiệp Sông Mây, Xã Bắc Sơn,Huyện Tràng Bom, Tỉnh Đồng Nai,Việt Nam","99,99%","99,99%","99,99%","99,99%",,,,0.9998999999999999,0.9998999999999999,0.9998999999999999,0.9998999999999999
3,Các công ty con sở hữu trực tiếp > 3,3,Công ty Cổ phần 3F VIỆT(“3F VIỆT”),Chăn nuôi gia cầm và chế biến và bảo quản thịt gia cầm và các sản phẩm chế biến từ thịt gia cầm,"68 Nguyễn Huệ, Phường Bến Nghé, Quận 1,Thành phố Hồ Chí Minh, Việt Nam","51,00%","51,00%","51,00%","51,00%",,,,0.51,0.51,0.51,0.51
