row_label_raw,row_label_full,col_0,1/1/2021VND,Ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhất VND,Giảm do ngừng hợp nhất MNSFeed và các công ty con VND,31/12/2021VND,numeric__1/1/2021VND,numeric__Ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhất VND,numeric__Giảm do ngừng hợp nhất MNSFeed và các công ty con VND,numeric__31/12/2021VND
Lỗ chưa thực hiện,Lỗ chưa thực hiện,Lỗ chưa thực hiện,2.370.069.907,(2.267.487.916),(11.361.545),91.220.446,2370069907.0,-2267487916.0,-11361545.0,91220446.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,10.788.145.285,(479.168.775),(10.308.976.510),-,10788145285.0,-479168775.0,-10308976510.0,
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,168.235.517,335.868.552,(504.104.069),-,168235517.0,335868552.0,-504104069.0,
Chi phí phải trả và dự phòng,Chi phí phải trả và dự phòng,Chi phí phải trả và dự phòng,29.345.427.420,4.675.868.052,(33.992.995.472),28.300.000,29345427420.0,4675868052.0,-33992995472.0,28300000.0
Lỗ tính thuế mang sang,Lỗ tính thuế mang sang,Lỗ tính thuế mang sang,21.280.300.095,(17.114.088.964),-,4.166.211.131,21280300095.0,-17114088964.0,,4166211131.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,(489.812.587.555),32.783.645.400,413.485.195.091,(43.543.747.064),-489812587555.0,32783645400.0,413485195091.0,-43543747064.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,(8.312.052.463),4.982.520.699,1.617.261.911,(1.712.269.853),-8312052463.0,4982520699.0,1617261911.0,-1712269853.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,(1.396.483.063),1.396.483.063,-,-,-1396483063.0,1396483063.0,,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,-,(297.477.489.597),-,(297.477.489.597),,-297477489597.0,,-297477489597.0
Khác – giá trị thuần,Khác – giá trị thuần,Khác – giá trị thuần,1.125.998.155,338.651.762,(1.464.649.917),-,1125998155.0,338651762.0,-1464649917.0,
,,,(434.442.946.702),(272.825.197.724),368.820.369.489,(338.447.774.937),-434442946702.0,-272825197724.0,368820369489.0,-338447774937.0
