row_label_raw,row_label_full,col_0,Giá trị ghi sổ VND,numeric__Giá trị ghi sổ VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,917.939.684.646,917939684646.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,1.948.821.245.030,1948821245030.0
Hàng tồn kho – thuần,Hàng tồn kho – thuần,Hàng tồn kho – thuần,1.918.205.771.712,1918205771712.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,44.748.114.067,44748114067.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,269.530.000,269530000.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,1.110.313.082.675,1110313082675.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,2.822.466.620.567,2822466620567.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,62.737.331.315,62737331315.0
"Đầu tư tài chính dài hạn, không bao gồm khoản đầu tư vào Vissan","Đầu tư tài chính dài hạn, không bao gồm khoản đầu tư vào Vissan","Đầu tư tài chính dài hạn, không bao gồm khoản đầu tư vào Vissan",41.454.621.573,41454621573.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,116.460.565.881,116460565881.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,46.282.087.513,46282087513.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(790.982.944.813),-790982944813.0
Thuế phải trả Nhà nước,Thuế phải trả Nhà nước,Thuế phải trả Nhà nước,(59.530.514.102),-59530514102.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(1.225.136.654.332),-1225136654332.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(408.866.248.651),-408866248651.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,(27.419.839.834),-27419839834.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,(415.195.385.633),-415195385633.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(985.425.738.477),-985425738477.0
Giá trị ghi sổ thuần của tài sản và nợ phải trả xác định được,Giá trị ghi sổ thuần của tài sản và nợ phải trả xác định được,Giá trị ghi sổ thuần của tài sản và nợ phải trả xác định được,5.117.141.329.137,5117141329137.0
Lãi từ ngừng hợp nhất các công ty con và công ty liên kết ghi nhận ở báo cáo kết quả kinh doanh hợp nhất (Thuyết minh 33),Lãi từ ngừng hợp nhất các công ty con và công ty liên kết ghi nhận ở báo cáo kết quả kinh doanh hợp nhất (Thuyết minh 33),Lãi từ ngừng hợp nhất các công ty con và công ty liên kết ghi nhận ở báo cáo kết quả kinh doanh hợp nhất (Thuyết minh 33),1.343.202.946.846,1343202946846.0
Lãi từ ngừng hợp nhất các công ty con được ghi nhận trong vốn khác của chủ sở hữu,Lãi từ ngừng hợp nhất các công ty con được ghi nhận trong vốn khác của chủ sở hữu,Lãi từ ngừng hợp nhất các công ty con được ghi nhận trong vốn khác của chủ sở hữu,175.543.000.000,175543000000.0
Khoản thanh toán mua lại cổ phiếu Vissan,Khoản thanh toán mua lại cổ phiếu Vissan,Khoản thanh toán mua lại cổ phiếu Vissan,648.102.724.017,648102724017.0
Tất toán tổng giá trị trái phiếu hoán đổi thông qua việc hoán đổi với khoản đầu tư vào Công ty Cổ phần MNS Feed,Tất toán tổng giá trị trái phiếu hoán đổi thông qua việc hoán đổi với khoản đầu tư vào Công ty Cổ phần MNS Feed,Tất toán tổng giá trị trái phiếu hoán đổi thông qua việc hoán đổi với khoản đầu tư vào Công ty Cổ phần MNS Feed,(7.283.990.000.000),-7283990000000.0
Tổng giá trị chuyển nhượng phải thu,Tổng giá trị chuyển nhượng phải thu,Tổng giá trị chuyển nhượng phải thu,-,
Tiền và các khoản tương đương tiền của MNS Feed và các công ty con tại Ngày Mất Quyền Kiểm Soát,Tổng giá trị chuyển nhượng phải thu > Tiền và các khoản tương đương tiền của MNS Feed và các công ty con tại Ngày Mất Quyền Kiểm Soát,Tiền và các khoản tương đương tiền của MNS Feed và các công ty con tại Ngày Mất Quyền Kiểm Soát,(917.939.684.646),-917939684646.0
Tiền chi thuần,Tổng giá trị chuyển nhượng phải thu > Tiền chi thuần,Tiền chi thuần,(917.939.684.646),-917939684646.0
