row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Gia súc VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Gia súc VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.884.979.322.057,2.564.944.607.034,123.273.777.652,59.623.994.560,-,6.632.821.701.303,3884979322057.0,2564944607034.0,123273777652.0,59623994560.0,,6632821701303.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,9.990.758.693,51.401.924.250,4.325.054.000,4.391.543.108,-,70.109.280.051,9990758693.0,51401924250.0,4325054000.0,4391543108.0,,70109280051.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,86.064.604.892,118.526.468.875,177.834.408,-,3.701.168.369,208.470.076.544,86064604892.0,118526468875.0,177834408.0,,3701168369.0,208470076544.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(2.787.853.611),(6.845.379.173),(14.529.742.017),(241.285.000),(690.935.441),(25.095.195.242),-2787853611.0,-6845379173.0,-14529742017.0,-241285000.0,-690935441.0,-25095195242.0
Giảm do ngừng hợp nhất MNSFeed và các công ty con,Nguyên giá > Giảm do ngừng hợp nhất MNSFeed và các công ty con,Giảm do ngừng hợp nhất MNSFeed và các công ty con,(1.267.851.845.110),(1.401.522.507.375),(38.774.574.895),(31.227.396.473),-,(2.739.376.323.853),-1267851845110.0,-1401522507375.0,-38774574895.0,-31227396473.0,,-2739376323853.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.710.394.986.921,1.326.505.113.611,74.472.349.148,32.546.856.195,3.010.232.928,4.146.929.538.803,2710394986921.0,1326505113611.0,74472349148.0,32546856195.0,3010232928.0,4146929538803.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,656.634.268.171,905.113.021.143,41.047.980.151,22.627.241.613,-,1.625.422.511.078,656634268171.0,905113021143.0,41047980151.0,22627241613.0,,1625422511078.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,191.612.598.596,257.006.140.522,18.098.377.487,9.224.824.056,664.230.385,476.606.171.046,191612598596.0,257006140522.0,18098377487.0,9224824056.0,664230385.0,476606171046.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(775.211.261),(4.491.220.288),(14.438.033.479),(195.248.478),(77.576.953),(19.977.290.459),-775211261.0,-4491220288.0,-14438033479.0,-195248478.0,-77576953.0,-19977290459.0
Giảm do ngừng hợp nhất MNSFeed và các công ty con,Giá trị hao mòn lũy kế > Giảm do ngừng hợp nhất MNSFeed và các công ty con,Giảm do ngừng hợp nhất MNSFeed và các công ty con,(607.628.574.467),(972.867.573.126),(28.863.886.076),(19.703.207.509),-,(1.629.063.241.178),-607628574467.0,-972867573126.0,-28863886076.0,-19703207509.0,,-1629063241178.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,239.843.081.039,184.760.368.251,15.844.438.083,11.953.609.682,586.653.432,452.988.150.487,239843081039.0,184760368251.0,15844438083.0,11953609682.0,586653432.0,452988150487.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.228.345.053.886,1.659.831.585.891,82.225.797.501,36.996.752.947,-,5.007.399.190.225,3228345053886.0,1659831585891.0,82225797501.0,36996752947.0,,5007399190225.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.470.551.905.882,1.141.744.745.360,58.627.911.065,20.593.246.513,2.423.579.496,3.693.941.388.316,2470551905882.0,1141744745360.0,58627911065.0,20593246513.0,2423579496.0,3693941388316.0
