row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụ vàdụng cụVND,Heo giốngVND,KhácVND,TổngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụ vàdụng cụVND,numeric__Heo giốngVND,numeric__KhácVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,597.327.305.629,34.638.259.509,59.003.097.233,75.296.603.663,766.265.266.034,597327305629.0,34638259509.0,59003097233.0,75296603663.0,766265266034.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,13.548.164.182,-,6.946.453.604,20.494.617.786,,13548164182.0,,6946453604.0,20494617786.0
Chuyển từ/(sang) xây dựng cơ bản dở dang,Chuyển từ/(sang) xây dựng cơ bản dở dang,Chuyển từ/(sang) xây dựng cơ bản dở dang,-,6.117.580.548,30.429.068.603,(346.500.000),36.200.149.151,,6117580548.0,30429068603.0,-346500000.0,36200149151.0
Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,49.939.433,-,-,49.939.433,,49939433.0,,,49939433.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(14.770.111.376),(25.364.108.823),(29.622.214.905),(34.412.233.315),(104.168.668.419),-14770111376.0,-25364108823.0,-29622214905.0,-34412233315.0,-104168668419.0
Thanh lý,Thanh lý,Thanh lý,-,(231.919.000),(24.067.314.720),(9.200.000),(24.308.433.720),,-231919000.0,-24067314720.0,-9200000.0,-24308433720.0
Phân loại lại,Phân loại lại,Phân loại lại,106.683.665,(246.648.251),-,139.964.586,-,106683665.0,-246648251.0,,139964586.0,
Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giảm do ngừng hợp nhất MNS Feed và các công ty con,(96.596.534.242),(12.936.893.110),-,(6.927.138.529),(116.460.565.881),-96596534242.0,-12936893110.0,,-6927138529.0,-116460565881.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(977.238.640),(977.238.640),,,,-977238640.0,-977238640.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,486.067.343.676,15.574.374.488,35.742.636.211,39.710.711.369,577.095.065.744,486067343676.0,15574374488.0,35742636211.0,39710711369.0,577095065744.0
