row_label_raw,row_label_full,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản(Thuyết minh 1(d)),Số lượng cổ phiếu > 20.180.026,"31/12/2021% lợi ích kinh tế/quyền biểu quyết > 24,9%",Giá trị ghi số theo phương pháp vốn chủ sở hữu VND > 2.135.490.172.000,Số lượng cổ phiếu > 20.180.026_1,"1/1/2021% lợi ích kinh tế/quyền biểu quyết > 24,9%",Giá trị ghi số theo phương pháp vốn chủ sở hữu VND > 2.135.490.172.000_1,numeric__Số lượng cổ phiếu > 20.180.026,"numeric__31/12/2021% lợi ích kinh tế/quyền biểu quyết > 24,9%",numeric__Giá trị ghi số theo phương pháp vốn chủ sở hữu VND > 2.135.490.172.000,numeric__Số lượng cổ phiếu > 20.180.026_1,"numeric__1/1/2021% lợi ích kinh tế/quyền biểu quyết > 24,9%",numeric__Giá trị ghi số theo phương pháp vốn chủ sở hữu VND > 2.135.490.172.000_1
Công ty Cổ phần Bao bì Thuận Phát,Công ty Cổ phần Bao bì Thuận Phát,Công ty Cổ phần Bao bì Thuận Phát,-,-,-,490.000,"25,0%",4.289.329.696,,,,490000.0,0.25,4289329696.0
Công ty Cổ phần Chế biến Súc sản Long Bình,Công ty Cổ phần Chế biến Súc sản Long Bình,Công ty Cổ phần Chế biến Súc sản Long Bình,-,-,-,900.000,"25,0%",6.769.461.403,,,,900000.0,0.25,6769461403.0
,,,,,2.135.490.172.000,,,2.146.548.963.099,,,2135490172000.0,,,2146548963099.0
"Tập đoàn chưa xác định giá trị hợp lý của các khoản đầu tư vào các công ty liên kết để thuyết minh trong báo cáo tài chính hợp nhất bởi vi các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán Doanh nghiệp Việt Nam hiện không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản đầu tư này có thể khác với giá trị ghi số của chúng.","Tập đoàn chưa xác định giá trị hợp lý của các khoản đầu tư vào các công ty liên kết để thuyết minh trong báo cáo tài chính hợp nhất bởi vi các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán Doanh nghiệp Việt Nam hiện không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản đầu tư này có thể khác với giá trị ghi số của chúng.","Tập đoàn chưa xác định giá trị hợp lý của các khoản đầu tư vào các công ty liên kết để thuyết minh trong báo cáo tài chính hợp nhất bởi vi các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán Doanh nghiệp Việt Nam hiện không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản đầu tư này có thể khác với giá trị ghi số của chúng.","Tập đoàn chưa xác định giá trị hợp lý của các khoản đầu tư vào các công ty liên kết để thuyết minh trong báo cáo tài chính hợp nhất bởi vi các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán Doanh nghiệp Việt Nam hiện không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản đầu tư này có thể khác với giá trị ghi số của chúng.","Tập đoàn chưa xác định giá trị hợp lý của các khoản đầu tư vào các công ty liên kết để thuyết minh trong báo cáo tài chính hợp nhất bởi vi các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán Doanh nghiệp Việt Nam hiện không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản đầu tư này có thể khác với giá trị ghi số của chúng.","Tập đoàn chưa xác định giá trị hợp lý của các khoản đầu tư vào các công ty liên kết để thuyết minh trong báo cáo tài chính hợp nhất bởi vi các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán Doanh nghiệp Việt Nam hiện không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản đầu tư này có thể khác với giá trị ghi số của chúng.","Tập đoàn chưa xác định giá trị hợp lý của các khoản đầu tư vào các công ty liên kết để thuyết minh trong báo cáo tài chính hợp nhất bởi vi các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán Doanh nghiệp Việt Nam hiện không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản đầu tư này có thể khác với giá trị ghi số của chúng.","Tập đoàn chưa xác định giá trị hợp lý của các khoản đầu tư vào các công ty liên kết để thuyết minh trong báo cáo tài chính hợp nhất bởi vi các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán Doanh nghiệp Việt Nam hiện không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản đầu tư này có thể khác với giá trị ghi số của chúng.","Tập đoàn chưa xác định giá trị hợp lý của các khoản đầu tư vào các công ty liên kết để thuyết minh trong báo cáo tài chính hợp nhất bởi vi các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán Doanh nghiệp Việt Nam hiện không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản đầu tư này có thể khác với giá trị ghi số của chúng.",,,,,,
Biến động của các khoản đầu tư vào các công ty liên kết trong năm như sau:,Biến động của các khoản đầu tư vào các công ty liên kết trong năm như sau:,Biến động của các khoản đầu tư vào các công ty liên kết trong năm như sau:,Biến động của các khoản đầu tư vào các công ty liên kết trong năm như sau:,Biến động của các khoản đầu tư vào các công ty liên kết trong năm như sau:,Biến động của các khoản đầu tư vào các công ty liên kết trong năm như sau:,Biến động của các khoản đầu tư vào các công ty liên kết trong năm như sau:,Biến động của các khoản đầu tư vào các công ty liên kết trong năm như sau:,Biến động của các khoản đầu tư vào các công ty liên kết trong năm như sau:,,,,,,
,,,,,Vissan VND,Thuận Phát VND,Abattoir VND,Tổng VND,,,,,,
Số dư đầu năm,Biến động của các khoản đầu tư vào các công ty liên kết trong năm như sau: > Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,2.135.490.172.000,4.289.329.696,6.769.461.403,2.146.548.963.099,,,2135490172000.0,4289329696.0,6769461403.0,2146548963099.0
Phần (lỗ)/lãi phát sinh sau ngày mua được chia,Biến động của các khoản đầu tư vào các công ty liên kết trong năm như sau: > Phần (lỗ)/lãi phát sinh sau ngày mua được chia,Phần (lỗ)/lãi phát sinh sau ngày mua được chia,Phần (lỗ)/lãi phát sinh sau ngày mua được chia,Phần (lỗ)/lãi phát sinh sau ngày mua được chia,-,(79.635.003),486.706.677,407.071.674,,,,-79635003.0,486706677.0,407071674.0
Cổ tức công bố,Biến động của các khoản đầu tư vào các công ty liên kết trong năm như sau: > Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,(600.000.000),(600.000.000),,,,,-600000000.0,-600000000.0
Giảm do ngừng hợp nhất MNS Feed và các công ty con (Thuyết minh 5),Biến động của các khoản đầu tư vào các công ty liên kết trong năm như sau: > Giảm do ngừng hợp nhất MNS Feed và các công ty con (Thuyết minh 5),Giảm do ngừng hợp nhất MNS Feed và các công ty con (Thuyết minh 5),Giảm do ngừng hợp nhất MNS Feed và các công ty con (Thuyết minh 5),Giảm do ngừng hợp nhất MNS Feed và các công ty con (Thuyết minh 5),-,(4.209.694.693),(6.656.168.080),(10.865.862.773),,,,-4209694693.0,-6656168080.0,-10865862773.0
Số dư cuối năm,Biến động của các khoản đầu tư vào các công ty liên kết trong năm như sau: > Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,2.135.490.172.000,-,-,2.135.490.172.000,,,2135490172000.0,,,2135490172000.0
