row_label_raw,row_label_full,Ngày 1 tháng 1 năm 2021,Địa chỉ,% quyền biểu quyết,% sở hữu,Giá gốc VND,Dự phòng giảm giá VND,Giá trị hợp lý VND,numeric__Địa chỉ,numeric__% quyền biểu quyết,numeric__% sở hữu,numeric__Giá gốc VND,numeric__Dự phòng giảm giá VND,numeric__Giá trị hợp lý VND
Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp,Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp,Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp,Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp,Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp,Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp,Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp,Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp,Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp,,,,,,
,,,"Tiểu bang California, Hoa Kỳ","90,0%","90,0%",323.162.400.000,-,(iv),,0.9,0.9,323162400000.0,,
▪ Mseafood Corporation,Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp > ▪ Mseafood Corporation,▪ Mseafood Corporation,"Tỉnh Hậu Giang, Việt Nam","98,27%","98,27%",1.587.861.174.231,-,(iv),,0.9826999999999999,0.9826999999999999,1587861174231.0,,
▪ Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp > ▪ Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,▪ Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,"Tỉnh Cà Mau, Việt Nam","97,5%","97,5%",195.000.000.000,-,(iv),,0.975,0.975,195000000000.0,,
▪ Công ty TNHH Chế biến Thủy sản Minh Quí (i),Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp > ▪ Công ty TNHH Chế biến Thủy sản Minh Quí (i),▪ Công ty TNHH Chế biến Thủy sản Minh Quí (i),"Tỉnh Cà Mau, Việt Nam","95,0%","95,0%",95.000.000.000,-,(iv),,0.95,0.95,95000000000.0,,
▪ Công ty TNHH Chế biến Thủy sản Minh Phát,Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp > ▪ Công ty TNHH Chế biến Thủy sản Minh Phát,▪ Công ty TNHH Chế biến Thủy sản Minh Phát,"Tỉnh Kiên Giang, Việt Nam","99,83%","99,83%",583.650.043.801,(148.650.000.000),(iv),,0.9983,0.9983,583650043801.0,-148650000000.0,
▪ Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang (i),Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp > ▪ Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang (i),▪ Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang (i),"Tỉnh Ninh Thuận, Việt Nam","99,67%","99,67%",98.173.710.030,(64.153.123.832),(iv),,0.9967,0.9967,98173710030.0,-64153123832.0,
▪ Công ty TNHH Sản xuất giống Thủy sản Minh Phú (i),Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp > ▪ Công ty TNHH Sản xuất giống Thủy sản Minh Phú (i),▪ Công ty TNHH Sản xuất giống Thủy sản Minh Phú (i),"Tỉnh Bà Rịa – Vũng Tàu, Việt Nam","100,0%","100,0%",720.000.000.000,(150.000.000.000),,,1.0,1.0,720000000000.0,-150000000000.0,
▪ Công ty TNHH Nuôi trồng Thủy sản Minh Phú – Lộc An (i),Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp > ▪ Công ty TNHH Nuôi trồng Thủy sản Minh Phú – Lộc An (i),▪ Công ty TNHH Nuôi trồng Thủy sản Minh Phú – Lộc An (i),"Tỉnh Cà Mau, Việt Nam","92,27%","92,27%",4.500.000.000,(1.555.573.854),(iv),,0.9227,0.9227,4500000000.0,-1555573854.0,
▪ Công ty TNHH Sản xuất Chế phẩm Sinh học Minh Phú (i) (ii),Đầu tư góp vốn vào:Các công ty con sở hữu trực tiếp > ▪ Công ty TNHH Sản xuất Chế phẩm Sinh học Minh Phú (i) (ii),▪ Công ty TNHH Sản xuất Chế phẩm Sinh học Minh Phú (i) (ii),"Tỉnh Hậu Giang, Việt Nam","100,0%","100,0%",20.000.000.000,-,(iv),,1.0,1.0,20000000000.0,,
