row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụvà dụng cụVND,TổngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụvà dụng cụVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,25.181.535.596,14.046.460.216,39.227.995.812,25181535596.0,14046460216.0,39227995812.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,7.593.788.598,7.593.788.598,,7593788598.0,7593788598.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,1.665.784.170,1.665.784.170,,1665784170.0,1665784170.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(470.892.039),(11.041.290.182),(11.512.182.221),-470892039.0,-11041290182.0,-11512182221.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,24.710.643.557,12.264.742.802,36.975.386.359,24710643557.0,12264742802.0,36975386359.0
