row_label_raw,row_label_full,Tiền thu từ phát hành cổ phiếu,31,6.331.700.000,4.437.745.411,numeric__31,numeric__6.331.700.000,numeric__4.437.745.411
Tiền mua lại cổ phiếu đã phát hành,Tiền mua lại cổ phiếu đã phát hành,Tiền mua lại cổ phiếu đã phát hành,32,(318.600.000),-,32.0,-318600000.0,
Tiền thu từ di vay,Tiền thu từ di vay,Tiền thu từ di vay,33,7.651.105.858.010,7.716.002.898.328,33.0,7651105858010.0,7716002898328.0
Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,34,(8.094.112.650.896),(6.916.463.746.793),34.0,-8094112650896.0,-6916463746793.0
Tiền chỉ trả cổ tức,Tiền chỉ trả cổ tức,Tiền chỉ trả cổ tức,36,(399.921.240.000),(696.871.732.411),36.0,-399921240000.0,-696871732411.0
Tiền chỉ trả các hoạt động tài chính khác,Tiền chỉ trả các hoạt động tài chính khác,Tiền chỉ trả các hoạt động tài chính khác,36,(34.025.769.448),-,36.0,-34025769448.0,
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(870.940.702.334),107.105.164.535,40.0,-870940702334.0,107105164535.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,(487.374.059.602),165.934.047.643,50.0,-487374059602.0,165934047643.0
Tiền và các khoản tương đương tiềnđầu năm,Tiền và các khoản tương đương tiềnđầu năm,Tiền và các khoản tương đương tiềnđầu năm,60,624.920.492.383,457.964.107.328,60.0,624920492383.0,457964107328.0
Anh hưởng của thay đổi tỷ giá hối đoái đốivới tiền và các khoản tương đương tiền,Anh hưởng của thay đổi tỷ giá hối đoái đốivới tiền và các khoản tương đương tiền,Anh hưởng của thay đổi tỷ giá hối đoái đốivới tiền và các khoản tương đương tiền,61,(293.021.712),1.022.337.412,61.0,-293021712.0,1022337412.0
Tiền và các khoản tương đương tiềncuối năm \( (70 = 50 + 60 + 61) \),Tiền và các khoản tương đương tiềncuối năm \( (70 = 50 + 60 + 61) \),Tiền và các khoản tương đương tiềncuối năm \( (70 = 50 + 60 + 61) \),70,4,137.253.411.069,70.0,4.0,137253411069.0
