row_label_raw,row_label_full,col_0,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính),Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_1
,,,2021VND,2020VND,,
Công ty Cổ phần Công nghệ Otanics,Công ty Cổ phần Công nghệ Otanics,Công ty Cổ phần Công nghệ Otanics,,,,
Bán nguyên vật liệu,Công ty Cổ phần Công nghệ Otanics > Bán nguyên vật liệu,Bán nguyên vật liệu,313.352.127,-,313352127.0,
Góp vốn,Công ty Cổ phần Công nghệ Otanics > Góp vốn,Góp vốn,51.000.000,-,51000000.0,
Công ty TNHH Sản xuất Chế phẩm Sinh họcMinh Phú,Công ty TNHH Sản xuất Chế phẩm Sinh họcMinh Phú,Công ty TNHH Sản xuất Chế phẩm Sinh họcMinh Phú,,,,
Góp vốn,Công ty TNHH Sản xuất Chế phẩm Sinh họcMinh Phú > Góp vốn,Góp vốn,1.860.000.000,-,1860000000.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,,
Công ty Cổ phần Mekong Logistics,Công ty Cổ phần Mekong Logistics,Công ty Cổ phần Mekong Logistics,,,,
"Phí lưu kho, bốc xếp","Công ty Cổ phần Mekong Logistics > Phí lưu kho, bốc xếp","Phí lưu kho, bốc xếp",47.986.187.217,44.352.034.597,47986187217.0,44352034597.0
Công ty Cổ phần Đầu tư Long PhụngThuê văn phòng,Công ty Cổ phần Mekong Logistics > Công ty Cổ phần Đầu tư Long PhụngThuê văn phòng,Công ty Cổ phần Đầu tư Long PhụngThuê văn phòng,76.612.264,102.141.460,76612264.0,102141460.0
Các cổ đông,Các cổ đông,Các cổ đông,,,,
MPM Investments Pte. Ltd.Chia cổ tức,Các cổ đông > MPM Investments Pte. Ltd.Chia cổ tức,MPM Investments Pte. Ltd.Chia cổ tức,139.955.514.660,105.064.449.165,139955514660.0,105064449165.0
Chu Thị Bình,Chu Thị Bình,Chu Thị Bình,,,,
Chia cổ tức,Chu Thị Bình > Chia cổ tức,Chia cổ tức,69.937.883.964,52.472.358.800,69937883964.0,52472358800.0
Lê Văn Quang,Lê Văn Quang,Lê Văn Quang,,,,
Chia cổ tức,Lê Văn Quang > Chia cổ tức,Chia cổ tức,63.996.752.430,47.982.425.075,63996752430.0,47982425075.0
