row_label_raw,row_label_full,col_0,2021VND,2020VND,numeric__2021VND,numeric__2020VND
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH Chế biến Thủy sản Minh Quí,Công ty TNHH Chế biến Thủy sản Minh Quí,Công ty TNHH Chế biến Thủy sản Minh Quí,Công ty TNHH Chế biến Thủy sản Minh Quí,Công ty TNHH Chế biến Thủy sản Minh Quí,,
Bán thành phẩm,Công ty TNHH Chế biến Thủy sản Minh Quí > Bán thành phẩm,Bán thành phẩm,230.316.273.704,1.016.026.114.925,230316273704.0,1016026114925.0
Lợi nhuận được phân phối,Công ty TNHH Chế biến Thủy sản Minh Quí > Lợi nhuận được phân phối,Lợi nhuận được phân phối,17.912.597.214,20.017.200.450,17912597214.0,20017200450.0
Thuê nhà xưởng,Công ty TNHH Chế biến Thủy sản Minh Quí > Thuê nhà xưởng,Thuê nhà xưởng,7.200.000.000,8.100.000.000,7200000000.0,8100000000.0
Chi phí ủy thác xuất khẩu,Công ty TNHH Chế biến Thủy sản Minh Quí > Chi phí ủy thác xuất khẩu,Chi phí ủy thác xuất khẩu,40.641.083.021,-,40641083021.0,
Thuê văn phòng,Công ty TNHH Chế biến Thủy sản Minh Quí > Thuê văn phòng,Thuê văn phòng,330.000.000,330.000.000,330000000.0,330000000.0
Công ty TNHH Chế biến Thủy sản Minh Phát,Công ty TNHH Chế biến Thủy sản Minh Phát,Công ty TNHH Chế biến Thủy sản Minh Phát,Công ty TNHH Chế biến Thủy sản Minh Phát,Công ty TNHH Chế biến Thủy sản Minh Phát,,
Bán thành phẩm,Công ty TNHH Chế biến Thủy sản Minh Phát > Bán thành phẩm,Bán thành phẩm,149.826.122.450,71.338.509.799,149826122450.0,71338509799.0
Góp vốn,Công ty TNHH Chế biến Thủy sản Minh Phát > Góp vốn,Góp vốn,25.720.661.126,-,25720661126.0,
Chi phí ủy thác xuất khẩu,Công ty TNHH Chế biến Thủy sản Minh Phát > Chi phí ủy thác xuất khẩu,Chi phí ủy thác xuất khẩu,18.062.606.864,-,18062606864.0,
Thuê nhà xưởng,Công ty TNHH Chế biến Thủy sản Minh Phát > Thuê nhà xưởng,Thuê nhà xưởng,9.600.000.000,11.100.000.000,9600000000.0,11100000000.0
Lợi nhuận được phân phối,Công ty TNHH Chế biến Thủy sản Minh Phát > Lợi nhuận được phân phối,Lợi nhuận được phân phối,7.559.185.169,7.135.057.080,7559185169.0,7135057080.0
Mua hàng hóa,Công ty TNHH Chế biến Thủy sản Minh Phát > Mua hàng hóa,Mua hàng hóa,-,6.195.781.208,,6195781208.0
Thuê văn phòng,Công ty TNHH Chế biến Thủy sản Minh Phát > Thuê văn phòng,Thuê văn phòng,80.000.000,80.000.000,80000000.0,80000000.0
Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,,
Mua thành phẩm,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Mua thành phẩm,Mua thành phẩm,1.649.494.665.608,1.574.233.740.345,1649494665608.0,1574233740345.0
Mua nguyên vật liệu,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Mua nguyên vật liệu,Mua nguyên vật liệu,2.918.961.235,1.778.728.917,2918961235.0,1778728917.0
Mua dịch vụ,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Mua dịch vụ,Mua dịch vụ,-,807.660.409,,807660409.0
Bán thành phẩm,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Bán thành phẩm,Bán thành phẩm,1.305.977.480.045,1.529.519.066.949,1305977480045.0,1529519066949.0
Bán nguyên vật liệu,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Bán nguyên vật liệu,Bán nguyên vật liệu,3.426.285.601,21.765.130.151,3426285601.0,21765130151.0
Thu nhập khác,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Thu nhập khác,Thu nhập khác,82.000.000,112.340.757,82000000.0,112340757.0
Chi phí khác,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Chi phí khác,Chi phí khác,285.296.834,136.564.345,285296834.0,136564345.0
Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang,,
Mua nguyên vật liệu,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang > Mua nguyên vật liệu,Mua nguyên vật liệu,520.962.750.805,623.066.711.743,520962750805.0,623066711743.0
