row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.000.459.198.938,4.055.558.987.940,55.136.159.362,37.586.082.883,253.880.507,12.148.994.309.630,8000459198938.0,4055558987940.0,55136159362.0,37586082883.0,253880507.0,12148994309630.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,4.038.322.000,2.504.538.181,1.346.726.000,-,7.889.586.181,,4038322000.0,2504538181.0,1346726000.0,,7889586181.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(5.226.068.986),-,-,(5.226.068.986),,,-5226068986.0,,,-5226068986.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(13.147.529.660),8.064.097.405,5.083.432.255,-,-,,-13147529660.0,8064097405.0,5083432255.0,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.000.459.198.938,4.046.449.780.280,60.478.725.962,44.016.241.138,253.880.507,12.151.657.826.825,8000459198938.0,4046449780280.0,60478725962.0,44016241138.0,253880507.0,12151657826825.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.180.409.440.832,3.875.697.504.994,38.820.625.240,32.931.609.897,253.880.507,8.128.113.061.470,4180409440832.0,3875697504994.0,38820625240.0,32931609897.0,253880507.0,8128113061470.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,175.823.366.040,106.507.178.491,2.899.470.618,3.927.888.519,-,289.157.903.668,175823366040.0,106507178491.0,2899470618.0,3927888519.0,,289157903668.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(5.226.068.986),-,-,(5.226.068.986),,,-5226068986.0,,,-5226068986.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(13.147.529.660),8.064.097.405,5.083.432.255,-,-,,-13147529660.0,8064097405.0,5083432255.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.356.232.806.872,3.969.057.153.825,44.558.124.277,41.942.930.671,253.880.507,8.412.044.896.152,4356232806872.0,3969057153825.0,44558124277.0,41942930671.0,253880507.0,8412044896152.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.820.049.758.106,179.861.482.946,16.315.534.122,4.654.472.986,-,4.020.881.248.160,3820049758106.0,179861482946.0,16315534122.0,4654472986.0,,4020881248160.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.644.226.392.066,77.392.626.455,15.920.601.685,2.073.310.467,-,3.739.612.930.673,3644226392066.0,77392626455.0,15920601685.0,2073310467.0,,3739612930673.0
