row_label_raw,row_label_full,col_0,Giá trị giao dịch cho năm,Giá trị giao dịch cho năm_1,numeric__Giá trị giao dịch cho năm,numeric__Giá trị giao dịch cho năm_1
,,,2017VND,2016VND,,
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,,,
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,,,,
Mua điện,Tập đoàn Điện lực Việt Nam > Mua điện,Mua điện,2.083.140.586,2.269.253.458,2083140586.0,2269253458.0
Chi phí lãi vay,Tập đoàn Điện lực Việt Nam > Chi phí lãi vay,Chi phí lãi vay,32.932.313.876,63.455.833.396,32932313876.0,63455833396.0
Khoản vay đã trả,Tập đoàn Điện lực Việt Nam > Khoản vay đã trả,Khoản vay đã trả,922.856.372.166,441.768.927.926,922856372166.0,441768927926.0
Công ty mẹ,Công ty mẹ,Công ty mẹ,,,,
Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,,,,
Cho công ty mẹ vay vốn,Tổng Công ty Phát điện 1 > Cho công ty mẹ vay vốn,Cho công ty mẹ vay vốn,-,84.411.447.015,,84411447015.0
Lãi vay phải thu trong năm,Tổng Công ty Phát điện 1 > Lãi vay phải thu trong năm,Lãi vay phải thu trong năm,72.993.870.272,70.769.744.103,72993870272.0,70769744103.0
Công ty con,Công ty con,Công ty con,,,,
Công ty Cổ phần Thủy điện Hạ Sông Pha,Công ty Cổ phần Thủy điện Hạ Sông Pha,Công ty Cổ phần Thủy điện Hạ Sông Pha,,,,
Cung cấp dịch vụ,Công ty Cổ phần Thủy điện Hạ Sông Pha > Cung cấp dịch vụ,Cung cấp dịch vụ,855.962.421,1.324.757.825,855962421.0,1324757825.0
Cổ tức được chia,Công ty Cổ phần Thủy điện Hạ Sông Pha > Cổ tức được chia,Cổ tức được chia,8.960.000.000,-,8960000000.0,
