row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,4.224.000.000.000,41.344.567.181,-,29.710.795.559,867.094.247.584,5.162.149.610.324,4224000000000.0,41344567181.0,,29710795559.0,867094247584.0,5162149610324.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,471.915.513.502,471.915.513.502,,,,,471915513502.0,471915513502.0
Cổ tức (Thuyết minh 23),Cổ tức (Thuyết minh 23),Cổ tức (Thuyết minh 23),-,-,-,-,(295.680.000.000),(295.680.000.000),,,,,-295680000000.0,-295680000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,26.443.143.479,-,(26.443.143.479),-,-,,26443143479.0,,-26443143479.0,,
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,17.212.462.896,(17.212.462.896),-,,,,17212462896.0,-17212462896.0,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(18.747.219.750),(18.747.219.750),,,,,-18747219750.0,-18747219750.0
Chênh lệch tỷ giá hối đoái (Thuyết minh 22),Chênh lệch tỷ giá hối đoái (Thuyết minh 22),Chênh lệch tỷ giá hối đoái (Thuyết minh 22),-,-,7.331.138.455,-,-,7.331.138.455,,,7331138455.0,,,7331138455.0
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,4.224.000.000.000,67.787.710.660,7.331.138.455,20.480.114.976,1.007.370.078.440,5.326.969.042.531,4224000000000.0,67787710660.0,7331138455.0,20480114976.0,1007370078440.0,5326969042531.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,655.079.909.419,655.079.909.419,,,,,655079909419.0,655079909419.0
Cổ tức (Thuyết minh 23),Cổ tức (Thuyết minh 23),Cổ tức (Thuyết minh 23),-,-,-,-,(422.400.000.000),(422.400.000.000),,,,,-422400000000.0,-422400000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,7.084.773.454,-,(7.084.773.454),-,-,,7084773454.0,,-7084773454.0,,
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,30.932.787.702,(30.932.787.702),-,,,,30932787702.0,-30932787702.0,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(18.582.725.800),(18.582.725.800),,,,,-18582725800.0,-18582725800.0
Chênh lệch tỷ giá hối đoái (Thuyết minh 22),Chênh lệch tỷ giá hối đoái (Thuyết minh 22),Chênh lệch tỷ giá hối đoái (Thuyết minh 22),-,-,(21.029.241.492),-,-,(21.029.241.492),,,-21029241492.0,,,-21029241492.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,4.224.000.000.000,74.872.484.114,(13.698.103.037),44.328.129.224,1.190.534.474.357,5.520.036.984.658,4224000000000.0,74872484114.0,-13698103037.0,44328129224.0,1190534474357.0,5520036984658.0
