row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 - 5 năm,Tổng,numeric__Dưới 1 năm,numeric__Từ 1 - 5 năm,numeric__Tổng
,,,VND,VND,VND,,,
31/12/2014,31/12/2014,31/12/2014,31/12/2014,31/12/2014,31/12/2014,,,
Tiền và các khoản tương đương tiền,31/12/2014 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.340.230.030.329,-,1.340.230.030.329,1340230030329.0,,1340230030329.0
Phải thu ngắn hạn của khách hàng,31/12/2014 > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,46.297.499.957,-,46.297.499.957,46297499957.0,,46297499957.0
Đầu tư,31/12/2014 > Đầu tư,Đầu tư,1.234.475.000.000,4.740.000.000,1.239.215.000.000,1234475000000.0,4740000000.0,1239215000000.0
Phải thu về cho vay ngắn hạn,31/12/2014 > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,144.778.750.000,-,144.778.750.000,144778750000.0,,144778750000.0
Phải thu ngắn hạn khác,31/12/2014 > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,745.825.721.675,-,745.825.721.675,745825721675.0,,745825721675.0
,,,3.511.607.001.961,4.740.000.000,3.516.347.001.961,3511607001961.0,4740000000.0,3516347001961.0
31/12/2014,31/12/2014,31/12/2014,31/12/2014,31/12/2014,31/12/2014,,,
Phải trả người bán ngắn hạn,31/12/2014 > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,17.855.016.608,-,17.855.016.608,17855016608.0,,17855016608.0
Chi phí phải trả ngắn hạn,31/12/2014 > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,8.502.957.730,-,8.502.957.730,8502957730.0,,8502957730.0
Phải trả khác,31/12/2014 > Phải trả khác,Phải trả khác,533.180.303.192,1.945.976.271,535.126.279.463,533180303192.0,1945976271.0,535126279463.0
Vay ngắn hạn,31/12/2014 > Vay ngắn hạn,Vay ngắn hạn,1.181.750.000.000,-,1.181.750.000.000,1181750000000.0,,1181750000000.0
,,,1.741.288.277.530,1.945.976.271,1.743.234.253.801,1741288277530.0,1945976271.0,1743234253801.0
Chênh lệch thanh khoản thuần,31/12/2014 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.770.318.724.431,2.794.023.729,1.773.112.748.160,1770318724431.0,2794023729.0,1773112748160.0
