row_label_raw,row_label_full,col_0,31/12/2015 > Giá gốc,31/12/2015 > Giá trị ghi số,31/12/2014 > Giá gốc,31/12/2014 > Giá trị ghi số,numeric__31/12/2015 > Giá gốc,numeric__31/12/2015 > Giá trị ghi số,numeric__31/12/2014 > Giá gốc,numeric__31/12/2014 > Giá trị ghi số
,,,VND,VND,VND,VND,,,,
a. Đầu tư nằm giữ đến ngày đáo hạn,a. Đầu tư nằm giữ đến ngày đáo hạn,a. Đầu tư nằm giữ đến ngày đáo hạn,a. Đầu tư nằm giữ đến ngày đáo hạn,a. Đầu tư nằm giữ đến ngày đáo hạn,a. Đầu tư nằm giữ đến ngày đáo hạn,a. Đầu tư nằm giữ đến ngày đáo hạn,,,,
ngắn hạn,a. Đầu tư nằm giữ đến ngày đáo hạn > ngắn hạn,ngắn hạn,1.375.400.000.000,1.375.400.000.000,1.234.475.000.000,1.234.475.000.000,1375400000000.0,1375400000000.0,1234475000000.0,1234475000000.0
Tiền gửi có kỳ hạn,a. Đầu tư nằm giữ đến ngày đáo hạn > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,1.375.400.000.000,1.375.400.000.000,1.234.300.000.000,1.234.300.000.000,1375400000000.0,1375400000000.0,1234300000000.0,1234300000000.0
Các khoản đầu tư khác,a. Đầu tư nằm giữ đến ngày đáo hạn > Các khoản đầu tư khác,Các khoản đầu tư khác,-,-,175.000.000,175.000.000,,,175000000.0,175000000.0
,,,31/12/2015,31/12/2015,31/12/2014,31/12/2014,,,,
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
,,,VND,VND,VND,VND,,,,
b. Các khoản đầu tư tài chính dài hạn,b. Các khoản đầu tư tài chính dài hạn,b. Các khoản đầu tư tài chính dài hạn,b. Các khoản đầu tư tài chính dài hạn,b. Các khoản đầu tư tài chính dài hạn,b. Các khoản đầu tư tài chính dài hạn,b. Các khoản đầu tư tài chính dài hạn,,,,
b1) Đầu tư vào công ty con,b. Các khoản đầu tư tài chính dài hạn > b1) Đầu tư vào công ty con,b1) Đầu tư vào công ty con,4.120.302.733.682,(11.348.712.867),3.617.802.733.682,(34.195.124.683),4120302733682.0,-11348712867.0,3617802733682.0,-34195124683.0
Công ty TNHH Hệ thống Thông tin FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,850.000.000.000,-,850.000.000.000,-,850000000000.0,,850000000000.0,
Công ty TNHH Thương mại FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty TNHH Thương mại FPT,Công ty TNHH Thương mại FPT,680.000.000.000,-,600.000.000.000,-,680000000000.0,,600000000000.0,
Công ty TNHH Truyền thông và Giải trí FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty TNHH Truyền thông và Giải trí FPT,Công ty TNHH Truyền thông và Giải trí FPT,50.000.000.000,(11.348.712.867),50.000.000.000,(11.348.712.867),50000000000.0,-11348712867.0,50000000000.0,-11348712867.0
Công ty TNHH Đầu tư FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,800.000.000.000,-,600.000.000.000,-,800000000000.0,,600000000000.0,
Công ty TNHH Giáo dục FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,250.000.000.000,-,250.000.000.000,-,250000000000.0,,250000000000.0,
Công ty TNHH Phần mềm FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,712.073.500.000,-,532.073.500.000,-,712073500000.0,,532073500000.0,
Công ty Cổ phần Viễn Thông FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty Cổ phần Viễn Thông FPT,Công ty Cổ phần Viễn Thông FPT,585.592.515.312,-,585.592.515.312,-,585592515312.0,,585592515312.0,
Công ty Cổ phần Dịch vụ trực tuyến FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty Cổ phần Dịch vụ trực tuyến FPT,Công ty Cổ phần Dịch vụ trực tuyến FPT,22.636.718.370,-,22.636.718.370,-,22636718370.0,,22636718370.0,
Công ty Cổ phần bản lẻ kỹ thuật số,b. Các khoản đầu tư tài chính dài hạn > Công ty Cổ phần bản lẻ kỹ thuật số,Công ty Cổ phần bản lẻ kỹ thuật số,170.000.000.000,-,127.500.000.000,(22.846.411.816),170000000000.0,,127500000000.0,-22846411816.0
b2) Đầu tư vào đơn vị khác,b. Các khoản đầu tư tài chính dài hạn > b2) Đầu tư vào đơn vị khác,b2) Đầu tư vào đơn vị khác,5.919.900.000,(1.179.900.000),5.919.900.000,(1.179.900.000),5919900000.0,-1179900000.0,5919900000.0,-1179900000.0
