row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Khác,Tổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,214.104.845.150,45.504.057.153,1.605.244.760,38.092.599.163,376.890.951,299.683.637.177,214104845150.0,45504057153.0,1605244760.0,38092599163.0,376890951.0,299683637177.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,-,995.199.546,5.763.164.821,232.000.000,6.990.364.367,,,995199546.0,5763164821.0,232000000.0,6990364367.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(119.458.050.364),-,(724.368.693),(231.401.433),(232.000.000),(120.645.820.490),-119458050364.0,,-724368693.0,-231401433.0,-232000000.0,-120645820490.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,94.646.794.786,45.504.057.153,1.876.075.613,43.624.362.551,376.890.951,186.028.181.054,94646794786.0,45504057153.0,1876075613.0,43624362551.0,376890951.0,186028181054.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,54.697.014.437,32.214.810.147,1.420.077.408,30.976.229.272,376.890.951,119.685.022.215,54697014437.0,32214810147.0,1420077408.0,30976229272.0,376890951.0,119685022215.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,9.035.378.985,4.709.167.843,180.207.231,4.110.443.973,8.898.628,18.044.096.660,9035378985.0,4709167843.0,180207231.0,4110443973.0,8898628.0,18044096660.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(28.659.020.721),-,(669.025.424),(231.401.433),(8.898.628),(29.568.346.206),-28659020721.0,,-669025424.0,-231401433.0,-8898628.0,-29568346206.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,35.073.372.701,36.923.977.990,931.259.215,34.855.271.812,376.890.951,108.160.772.669,35073372701.0,36923977990.0,931259215.0,34855271812.0,376890951.0,108160772669.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,59.573.422.085,8.580.079.163,944.816.398,8.769.090.739,-,77.867.408.385,59573422085.0,8580079163.0,944816398.0,8769090739.0,,77867408385.0
Tại ngày 31/12/2014,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,159.407.830.713,13.289.247.006,185.167.352,7.116.369.891,-,179.998.614.962,159407830713.0,13289247006.0,185167352.0,7116369891.0,,179998614962.0
